symbol,n,min_d,max_d
1000SHIBUSDT.P,1668,2021-05-09 18:00:00-06:00,2025-12-01 18:00:00-06:00
ADAUSDT,2133,2020-01-30 18:00:00-06:00,2025-12-01 18:00:00-06:00
AVAXUSDT,1897,2020-09-22 18:00:00-06:00,2025-12-01 18:00:00-06:00
BCHUSDT,2176,2019-12-18 18:00:00-06:00,2025-12-01 18:00:00-06:00
BNBUSDT,2123,2020-02-09 18:00:00-06:00,2025-12-01 18:00:00-06:00
BTCUSDT,2278,2019-09-07 18:00:00-06:00,2025-12-01 18:00:00-06:00
DOGEUSDT,1972,2020-07-09 18:00:00-06:00,2025-12-01 18:00:00-06:00
DOTUSDT,1929,2020-08-21 18:00:00-06:00,2025-12-01 18:00:00-06:00
ETCUSDT,2148,2020-01-15 18:00:00-06:00,2025-12-01 18:00:00-06:00
ETHUSDT,2198,2019-11-26 18:00:00-06:00,2025-12-01 18:00:00-06:00
HBARUSDT,1722,2021-03-16 18:00:00-06:00,2025-12-01 18:00:00-06:00
LINKUSDT,2147,2020-01-16 18:00:00-06:00,2025-12-01 18:00:00-06:00
LTCUSDT,2155,2020-01-08 18:00:00-06:00,2025-12-01 18:00:00-06:00
SOLUSDT,1906,2020-09-13 18:00:00-06:00,2025-12-01 18:00:00-06:00
TRXUSDT,2149,2020-01-14 18:00:00-06:00,2025-12-01 18:00:00-06:00
UNIUSDT,1902,2020-09-17 18:00:00-06:00,2025-12-01 18:00:00-06:00
XLMUSDT,2144,2020-01-19 18:00:00-06:00,2025-12-01 18:00:00-06:00
XMRUSDT.P,2130,2020-02-02 18:00:00-06:00,2025-12-01 18:00:00-06:00
XRPUSDT,2158,2020-01-05 18:00:00-06:00,2025-12-01 18:00:00-06:00
