symbol,n,min_d,max_d
1000SHIBUSDT.P,1616,2021-05-09 18:00:00-06:00,2025-10-10 18:00:00-06:00
ADAUSDT,2081,2020-01-30 18:00:00-06:00,2025-10-10 18:00:00-06:00
AVAXUSDT,1845,2020-09-22 18:00:00-06:00,2025-10-10 18:00:00-06:00
BCHUSDT,2124,2019-12-18 18:00:00-06:00,2025-10-10 18:00:00-06:00
BNBUSDT,2071,2020-02-09 18:00:00-06:00,2025-10-10 18:00:00-06:00
BTCUSDT,2226,2019-09-07 18:00:00-06:00,2025-10-10 18:00:00-06:00
DOGEUSDT,1920,2020-07-09 18:00:00-06:00,2025-10-10 18:00:00-06:00
DOTUSDT,1877,2020-08-21 18:00:00-06:00,2025-10-10 18:00:00-06:00
ETCUSDT,2096,2020-01-15 18:00:00-06:00,2025-10-10 18:00:00-06:00
ETHUSDT,2146,2019-11-26 18:00:00-06:00,2025-10-10 18:00:00-06:00
HBARUSDT,1670,2021-03-16 18:00:00-06:00,2025-10-10 18:00:00-06:00
LINKUSDT,2095,2020-01-16 18:00:00-06:00,2025-10-10 18:00:00-06:00
LTCUSDT,2103,2020-01-08 18:00:00-06:00,2025-10-10 18:00:00-06:00
SOLUSDT,1854,2020-09-13 18:00:00-06:00,2025-10-10 18:00:00-06:00
TRXUSDT,2097,2020-01-14 18:00:00-06:00,2025-10-10 18:00:00-06:00
UNIUSDT,1850,2020-09-17 18:00:00-06:00,2025-10-10 18:00:00-06:00
XLMUSDT,2092,2020-01-19 18:00:00-06:00,2025-10-10 18:00:00-06:00
XMRUSDT.P,2078,2020-02-02 18:00:00-06:00,2025-10-10 18:00:00-06:00
XRPUSDT,2106,2020-01-05 18:00:00-06:00,2025-10-10 18:00:00-06:00
