symbol,n,min_d,max_d
1000SHIBUSDT.P,1670,2021-05-09 18:00:00-06:00,2025-12-03 18:00:00-06:00
ADAUSDT,2135,2020-01-30 18:00:00-06:00,2025-12-03 18:00:00-06:00
AVAXUSDT,1899,2020-09-22 18:00:00-06:00,2025-12-03 18:00:00-06:00
BCHUSDT,2178,2019-12-18 18:00:00-06:00,2025-12-03 18:00:00-06:00
BNBUSDT,2125,2020-02-09 18:00:00-06:00,2025-12-03 18:00:00-06:00
BTCUSDT,2280,2019-09-07 18:00:00-06:00,2025-12-03 18:00:00-06:00
DOGEUSDT,1974,2020-07-09 18:00:00-06:00,2025-12-03 18:00:00-06:00
DOTUSDT,1931,2020-08-21 18:00:00-06:00,2025-12-03 18:00:00-06:00
ETCUSDT,2150,2020-01-15 18:00:00-06:00,2025-12-03 18:00:00-06:00
ETHUSDT,2200,2019-11-26 18:00:00-06:00,2025-12-03 18:00:00-06:00
HBARUSDT,1724,2021-03-16 18:00:00-06:00,2025-12-03 18:00:00-06:00
LINKUSDT,2149,2020-01-16 18:00:00-06:00,2025-12-03 18:00:00-06:00
LTCUSDT,2157,2020-01-08 18:00:00-06:00,2025-12-03 18:00:00-06:00
SOLUSDT,1908,2020-09-13 18:00:00-06:00,2025-12-03 18:00:00-06:00
TRXUSDT,2151,2020-01-14 18:00:00-06:00,2025-12-03 18:00:00-06:00
UNIUSDT,1904,2020-09-17 18:00:00-06:00,2025-12-03 18:00:00-06:00
XLMUSDT,2146,2020-01-19 18:00:00-06:00,2025-12-03 18:00:00-06:00
XMRUSDT.P,2132,2020-02-02 18:00:00-06:00,2025-12-03 18:00:00-06:00
XRPUSDT,2160,2020-01-05 18:00:00-06:00,2025-12-03 18:00:00-06:00
