symbol,alert,value,benchmark_value,detail
UNIUSDT,DEEP_DD,-0.7111,,MaxDD < -60%
UNIUSDT,UNDER_HODL,0.0069,1.319,HODL CAGR supera STRAT por > 5pp
XLMUSDT,UNDER_HODL,1.2552,2.0462,HODL CAGR supera STRAT por > 5pp
XLMUSDT,UNDER_HODL,1.2552,2.4543,HODL CAGR supera STRAT por > 5pp
XLMUSDT,UNDER_HODL,1.2552,1.319,HODL CAGR supera STRAT por > 5pp
XMRUSDT.P,UNDER_HODL,0.4286,2.4543,HODL CAGR supera STRAT por > 5pp
XMRUSDT.P,UNDER_HODL,0.4286,1.319,HODL CAGR supera STRAT por > 5pp
XRPUSDT,UNDER_HODL,0.775,3.0313,HODL CAGR supera STRAT por > 5pp
XRPUSDT,UNDER_HODL,0.775,2.4543,HODL CAGR supera STRAT por > 5pp
XRPUSDT,UNDER_HODL,0.775,1.319,HODL CAGR supera STRAT por > 5pp
