symbol,n,min_d,max_d
1000SHIBUSDT.P,1600,2021-05-09 18:00:00-06:00,2025-09-24 18:00:00-06:00
ADAUSDT,2065,2020-01-30 18:00:00-06:00,2025-09-24 18:00:00-06:00
AVAXUSDT,1829,2020-09-22 18:00:00-06:00,2025-09-24 18:00:00-06:00
BCHUSDT,2108,2019-12-18 18:00:00-06:00,2025-09-24 18:00:00-06:00
BNBUSDT,2055,2020-02-09 18:00:00-06:00,2025-09-24 18:00:00-06:00
BTCUSDT,2210,2019-09-07 18:00:00-06:00,2025-09-24 18:00:00-06:00
DOGEUSDT,1904,2020-07-09 18:00:00-06:00,2025-09-24 18:00:00-06:00
DOTUSDT,1861,2020-08-21 18:00:00-06:00,2025-09-24 18:00:00-06:00
ETCUSDT,2080,2020-01-15 18:00:00-06:00,2025-09-24 18:00:00-06:00
ETHUSDT,2130,2019-11-26 18:00:00-06:00,2025-09-24 18:00:00-06:00
HBARUSDT,1654,2021-03-16 18:00:00-06:00,2025-09-24 18:00:00-06:00
LINKUSDT,2079,2020-01-16 18:00:00-06:00,2025-09-24 18:00:00-06:00
LTCUSDT,2087,2020-01-08 18:00:00-06:00,2025-09-24 18:00:00-06:00
SOLUSDT,1838,2020-09-13 18:00:00-06:00,2025-09-24 18:00:00-06:00
TRXUSDT,2081,2020-01-14 18:00:00-06:00,2025-09-24 18:00:00-06:00
UNIUSDT,1834,2020-09-17 18:00:00-06:00,2025-09-24 18:00:00-06:00
XLMUSDT,2076,2020-01-19 18:00:00-06:00,2025-09-24 18:00:00-06:00
XMRUSDT.P,2062,2020-02-02 18:00:00-06:00,2025-09-24 18:00:00-06:00
XRPUSDT,2090,2020-01-05 18:00:00-06:00,2025-09-24 18:00:00-06:00
