symbol,n,min_d,max_d
1000SHIBUSDT.P,1669,2021-05-09 18:00:00-06:00,2025-12-02 18:00:00-06:00
ADAUSDT,2134,2020-01-30 18:00:00-06:00,2025-12-02 18:00:00-06:00
AVAXUSDT,1898,2020-09-22 18:00:00-06:00,2025-12-02 18:00:00-06:00
BCHUSDT,2177,2019-12-18 18:00:00-06:00,2025-12-02 18:00:00-06:00
BNBUSDT,2124,2020-02-09 18:00:00-06:00,2025-12-02 18:00:00-06:00
BTCUSDT,2279,2019-09-07 18:00:00-06:00,2025-12-02 18:00:00-06:00
DOGEUSDT,1973,2020-07-09 18:00:00-06:00,2025-12-02 18:00:00-06:00
DOTUSDT,1930,2020-08-21 18:00:00-06:00,2025-12-02 18:00:00-06:00
ETCUSDT,2149,2020-01-15 18:00:00-06:00,2025-12-02 18:00:00-06:00
ETHUSDT,2199,2019-11-26 18:00:00-06:00,2025-12-02 18:00:00-06:00
HBARUSDT,1723,2021-03-16 18:00:00-06:00,2025-12-02 18:00:00-06:00
LINKUSDT,2148,2020-01-16 18:00:00-06:00,2025-12-02 18:00:00-06:00
LTCUSDT,2156,2020-01-08 18:00:00-06:00,2025-12-02 18:00:00-06:00
SOLUSDT,1907,2020-09-13 18:00:00-06:00,2025-12-02 18:00:00-06:00
TRXUSDT,2150,2020-01-14 18:00:00-06:00,2025-12-02 18:00:00-06:00
UNIUSDT,1903,2020-09-17 18:00:00-06:00,2025-12-02 18:00:00-06:00
XLMUSDT,2145,2020-01-19 18:00:00-06:00,2025-12-02 18:00:00-06:00
XMRUSDT.P,2131,2020-02-02 18:00:00-06:00,2025-12-02 18:00:00-06:00
XRPUSDT,2159,2020-01-05 18:00:00-06:00,2025-12-02 18:00:00-06:00
