symbol,n,min_d,max_d
1000SHIBUSDT.P,1593,2021-05-09 18:00:00-06:00,2025-09-17 18:00:00-06:00
ADAUSDT,2058,2020-01-30 18:00:00-06:00,2025-09-17 18:00:00-06:00
AVAXUSDT,1822,2020-09-22 18:00:00-06:00,2025-09-17 18:00:00-06:00
BCHUSDT,2101,2019-12-18 18:00:00-06:00,2025-09-17 18:00:00-06:00
BNBUSDT,2048,2020-02-09 18:00:00-06:00,2025-09-17 18:00:00-06:00
BTCUSDT,2203,2019-09-07 18:00:00-06:00,2025-09-17 18:00:00-06:00
DOGEUSDT,1897,2020-07-09 18:00:00-06:00,2025-09-17 18:00:00-06:00
DOTUSDT,1854,2020-08-21 18:00:00-06:00,2025-09-17 18:00:00-06:00
ETCUSDT,2073,2020-01-15 18:00:00-06:00,2025-09-17 18:00:00-06:00
ETHUSDT,2123,2019-11-26 18:00:00-06:00,2025-09-17 18:00:00-06:00
HBARUSDT,1647,2021-03-16 18:00:00-06:00,2025-09-17 18:00:00-06:00
LINKUSDT,2072,2020-01-16 18:00:00-06:00,2025-09-17 18:00:00-06:00
LTCUSDT,2080,2020-01-08 18:00:00-06:00,2025-09-17 18:00:00-06:00
SOLUSDT,1831,2020-09-13 18:00:00-06:00,2025-09-17 18:00:00-06:00
TRXUSDT,2074,2020-01-14 18:00:00-06:00,2025-09-17 18:00:00-06:00
UNIUSDT,1827,2020-09-17 18:00:00-06:00,2025-09-17 18:00:00-06:00
XLMUSDT,2069,2020-01-19 18:00:00-06:00,2025-09-17 18:00:00-06:00
XMRUSDT.P,2055,2020-02-02 18:00:00-06:00,2025-09-17 18:00:00-06:00
XRPUSDT,2083,2020-01-05 18:00:00-06:00,2025-09-17 18:00:00-06:00
