date,symbol,weight
2024-08-14 00:00:00+00:00,ETHUSDT,0.2568007028261852
2024-08-14 00:00:00+00:00,LINKUSDT,0.2353884917594319
2024-08-14 00:00:00+00:00,SOLUSDT,0.2040690753437031
2024-08-14 00:00:00+00:00,TRXUSDT,0.17908149341026647
2024-08-14 00:00:00+00:00,BTCUSDT,0.12466023666041329
2024-08-19 00:00:00+00:00,ETHUSDT,0.25267647937600285
2024-08-19 00:00:00+00:00,LINKUSDT,0.21971135668227942
2024-08-19 00:00:00+00:00,SOLUSDT,0.19025362048980446
2024-08-19 00:00:00+00:00,BTCUSDT,0.17200529283729185
2024-08-19 00:00:00+00:00,TRXUSDT,0.1653532506146214
2024-08-27 00:00:00+00:00,ETHUSDT,0.2540057111002778
2024-08-27 00:00:00+00:00,SOLUSDT,0.21419712297776558
2024-08-27 00:00:00+00:00,LINKUSDT,0.19642952623620047
2024-08-27 00:00:00+00:00,BNBUSDT,0.16792610824667023
2024-08-27 00:00:00+00:00,BTCUSDT,0.16744153143908588
2024-09-01 00:00:00+00:00,ETHUSDT,0.2593947610118031
2024-09-01 00:00:00+00:00,SOLUSDT,0.22356454736538034
2024-09-01 00:00:00+00:00,BTCUSDT,0.1904848339306181
2024-09-01 00:00:00+00:00,LINKUSDT,0.16799305357490188
2024-09-01 00:00:00+00:00,TRXUSDT,0.15856280411729662
2024-09-02 00:00:00+00:00,ETHUSDT,0.25916707472222195
2024-09-02 00:00:00+00:00,SOLUSDT,0.20763042666589301
2024-09-02 00:00:00+00:00,BTCUSDT,0.1958567687586573
2024-09-02 00:00:00+00:00,LINKUSDT,0.17744573270468786
2024-09-02 00:00:00+00:00,TRXUSDT,0.15989999714853992
2024-09-03 00:00:00+00:00,ETHUSDT,0.2612956861267888
2024-09-03 00:00:00+00:00,BTCUSDT,0.20283797894259636
2024-09-03 00:00:00+00:00,SOLUSDT,0.19768445001670865
2024-09-03 00:00:00+00:00,LINKUSDT,0.17221778538165974
2024-09-03 00:00:00+00:00,TRXUSDT,0.16596409953224653
2024-09-04 00:00:00+00:00,ETHUSDT,0.2607359847026764
2024-09-04 00:00:00+00:00,SOLUSDT,0.21342969032876988
2024-09-04 00:00:00+00:00,BTCUSDT,0.19519221352119304
2024-09-04 00:00:00+00:00,LINKUSDT,0.16804077566960168
2024-09-04 00:00:00+00:00,TRXUSDT,0.16260133577775904
2024-09-05 00:00:00+00:00,ETHUSDT,0.26198731992118796
2024-09-05 00:00:00+00:00,SOLUSDT,0.20143446641188475
2024-09-05 00:00:00+00:00,BTCUSDT,0.19960715420988248
2024-09-05 00:00:00+00:00,LINKUSDT,0.1690400465711113
2024-09-05 00:00:00+00:00,TRXUSDT,0.16793101288593357
2024-09-06 00:00:00+00:00,ETHUSDT,0.2600768928019093
2024-09-06 00:00:00+00:00,SOLUSDT,0.23339598327300767
2024-09-06 00:00:00+00:00,BTCUSDT,0.18784302652010448
2024-09-06 00:00:00+00:00,TRXUSDT,0.15959182291304558
2024-09-06 00:00:00+00:00,LINKUSDT,0.159092274491933
2024-09-10 00:00:00+00:00,ETHUSDT,0.26249185206759174
2024-09-10 00:00:00+00:00,BTCUSDT,0.2118893373628836
2024-09-10 00:00:00+00:00,LINKUSDT,0.18210283613172829
2024-09-10 00:00:00+00:00,TRXUSDT,0.1719542130573915
2024-09-10 00:00:00+00:00,SOLUSDT,0.17156176138040483
2024-09-12 00:00:00+00:00,ETHUSDT,0.26245633003872504
2024-09-12 00:00:00+00:00,BTCUSDT,0.21484119497902723
2024-09-12 00:00:00+00:00,LINKUSDT,0.18464396267363276
2024-09-12 00:00:00+00:00,SOLUSDT,0.16944217008916254
2024-09-12 00:00:00+00:00,TRXUSDT,0.16861634221945243
2024-09-13 00:00:00+00:00,ETHUSDT,0.2583801425119638
2024-09-13 00:00:00+00:00,BTCUSDT,0.20477914361800206
