symbol,n,min_d,max_d
1000SHIBUSDT.P,1633,2021-05-09 18:00:00-06:00,2025-10-27 18:00:00-06:00
ADAUSDT,2098,2020-01-30 18:00:00-06:00,2025-10-27 18:00:00-06:00
AVAXUSDT,1862,2020-09-22 18:00:00-06:00,2025-10-27 18:00:00-06:00
BCHUSDT,2141,2019-12-18 18:00:00-06:00,2025-10-27 18:00:00-06:00
BNBUSDT,2088,2020-02-09 18:00:00-06:00,2025-10-27 18:00:00-06:00
BTCUSDT,2243,2019-09-07 18:00:00-06:00,2025-10-27 18:00:00-06:00
DOGEUSDT,1937,2020-07-09 18:00:00-06:00,2025-10-27 18:00:00-06:00
DOTUSDT,1894,2020-08-21 18:00:00-06:00,2025-10-27 18:00:00-06:00
ETCUSDT,2113,2020-01-15 18:00:00-06:00,2025-10-27 18:00:00-06:00
ETHUSDT,2163,2019-11-26 18:00:00-06:00,2025-10-27 18:00:00-06:00
HBARUSDT,1687,2021-03-16 18:00:00-06:00,2025-10-27 18:00:00-06:00
LINKUSDT,2112,2020-01-16 18:00:00-06:00,2025-10-27 18:00:00-06:00
LTCUSDT,2120,2020-01-08 18:00:00-06:00,2025-10-27 18:00:00-06:00
SOLUSDT,1871,2020-09-13 18:00:00-06:00,2025-10-27 18:00:00-06:00
TRXUSDT,2114,2020-01-14 18:00:00-06:00,2025-10-27 18:00:00-06:00
UNIUSDT,1867,2020-09-17 18:00:00-06:00,2025-10-27 18:00:00-06:00
XLMUSDT,2109,2020-01-19 18:00:00-06:00,2025-10-27 18:00:00-06:00
XMRUSDT.P,2095,2020-02-02 18:00:00-06:00,2025-10-27 18:00:00-06:00
XRPUSDT,2123,2020-01-05 18:00:00-06:00,2025-10-27 18:00:00-06:00
