date,equity,strat_ret,side,prob_up,ret_fwd_1d
2023-01-01 00:00:00+00:00,1.0,0.0,0,0.4347311070351465,0.017105807697613606
2023-01-02 00:00:00+00:00,1.0,-0.0,0,0.4155332814402304,-0.002034450020344414
2023-01-03 00:00:00+00:00,1.0,0.0,0,0.4634687532472427,0.0027181299266103576
2023-01-04 00:00:00+00:00,1.0,-0.0,0,0.4664991046988305,-0.012062889671997867
2023-01-05 00:00:00+00:00,1.0280617643023735,0.028061764302373483,1,0.5018623672477251,0.028261764302373482
2023-01-06 00:00:00+00:00,1.027856151949513,-0.0002,0,0.4512624796789615,0.008805870580386843
2023-01-08 00:00:00+00:00,1.027856151949513,0.0,0,0.4207035923738293,0.026936026936026813
2023-01-10 00:00:00+00:00,1.027856151949513,0.0,0,0.427060210957186,0.02287581699346397
2023-01-11 00:00:00+00:00,1.027856151949513,0.0,0,0.4057934705691844,0.002334725976898655
2023-01-12 00:00:00+00:00,1.027856151949513,0.0,0,0.4155227636110696,0.03788157410812798
2023-01-14 00:00:00+00:00,1.027856151949513,0.0,0,0.360704307700273,0.007554080347945469
2023-01-19 00:00:00+00:00,1.027856151949513,0.0,0,0.3623696077465628,0.052145058070632855
2023-01-27 00:00:00+00:00,1.027856151949513,0.0,0,0.4065603086067547,0.0022680635057781284
2023-02-01 00:00:00+00:00,1.027856151949513,-0.0,0,0.4275880929506625,-0.005956248646307172
2023-02-02 00:00:00+00:00,1.027856151949513,0.0,0,0.4637862871287498,0.011983876239241686
2023-02-03 00:00:00+00:00,1.027856151949513,0.0,0,0.4602525528989749,0.0005382710733123908
2023-02-04 00:00:00+00:00,1.027856151949513,-0.0,0,0.4724280437707848,-0.02227243382827615
2023-02-06 00:00:00+00:00,1.0642192076067665,0.0353775726187797,1,0.5645776292651297,0.035577572618779696
2023-02-08 00:00:00+00:00,0.9997813193220051,-0.0605494505494506,1,0.541843925621874,-0.0605494505494506
2023-02-09 00:00:00+00:00,1.0014185796414001,0.0016376184349047307,1,0.6303857209871786,0.0016376184349047307
2023-02-10 00:00:00+00:00,1.0072659379249538,0.005839075090505741,1,0.5580388978422015,0.005839075090505741
2023-02-11 00:00:00+00:00,0.9938170138727804,-0.013351909903633996,1,0.529927000917124,-0.013351909903633996
2023-02-12 00:00:00+00:00,0.9940509082041226,0.0002353494939986156,1,0.5668812373170178,0.0002353494939986156
