symbol,train_start,train_end,test_start,test_end,n_train,n_test,fee_bps,acc,precision,recall,auc,maxdd,sharpe
1000SHIBUSDT.P,2021-06-04 18:00:00-06:00,2024-02-03 18:00:00-06:00,2024-02-04 18:00:00-06:00,2024-05-03 18:00:00-06:00,403,36,2.0,0.5277777777777778,0.0,0.0,0.6439628482972136,0.0,0.0
1000SHIBUSDT.P,2021-06-04 18:00:00-06:00,2025-06-05 18:00:00-06:00,2025-06-09 18:00:00-06:00,2025-08-13 18:00:00-06:00,605,30,2.0,0.4666666666666667,0.0,0.0,0.5848214285714285,0.0,0.0
