date,equity,strat_ret,side,prob_up,ret_fwd_1d
2023-01-01 00:00:00+00:00,1.0276084714548805,0.027608471454880525,1,0.6080635539970736,0.027808471454880523
2023-01-02 00:00:00+00:00,1.0474020408297955,0.019261781042823944,1,0.6197741193000046,0.019261781042823944
2023-01-03 00:00:00+00:00,1.1113859046231247,0.06108816032345943,1,0.6084129258602503,0.06108816032345943
2023-01-04 00:00:00+00:00,1.0810971403238365,-0.027253147779986664,1,0.6173272409393894,-0.027253147779986664
2023-01-05 00:00:00+00:00,1.0837669706116158,0.0024695563314314217,1,0.6343757717025026,0.0024695563314314217
2023-01-06 00:00:00+00:00,1.0808209509837214,-0.0027183146449201168,1,0.6141643543776758,-0.0027183146449201168
2023-01-08 00:00:00+00:00,1.0890482823994507,0.007612113188813607,1,0.5906270175566913,0.007612113188813607
2023-01-10 00:00:00+00:00,1.3549368968297328,0.2441476826394342,1,0.5940535138827947,0.2441476826394342
2023-01-11 00:00:00+00:00,1.3214013959105984,-0.02475059982320993,1,0.6179277067807368,-0.02475059982320993
2023-01-12 00:00:00+00:00,1.3650317670043706,0.03301825715395568,1,0.7972360438802675,0.03301825715395568
2023-01-14 00:00:00+00:00,1.3550403887440234,-0.00731952068945152,1,0.6707801605801206,-0.00731952068945152
2023-01-19 00:00:00+00:00,1.4653431387270803,0.08140181717040607,1,0.6567703750303742,0.08140181717040607
2023-01-27 00:00:00+00:00,1.418249975322346,-0.0321379765326798,1,0.6287466054244095,-0.0321379765326798
2023-02-01 00:00:00+00:00,1.435296574281672,0.012019460078221744,1,0.6480100828138561,0.012019460078221744
2023-02-02 00:00:00+00:00,1.4459168760142678,0.007399377886699865,1,0.6894233939019437,0.007399377886699865
2023-02-03 00:00:00+00:00,1.4227145607640739,-0.016046783625730976,1,0.66994029402767,-0.016046783625730976
2023-02-04 00:00:00+00:00,1.3589251051345321,-0.044836439710916776,1,0.6795295259270266,-0.044836439710916776
2023-02-06 00:00:00+00:00,1.4475808402554473,0.06523960355573699,1,0.654744882616758,0.06523960355573699
2023-02-08 00:00:00+00:00,1.2878502641974245,-0.11034311287916465,1,0.6575257060472955,-0.11034311287916465
2023-02-09 00:00:00+00:00,1.279068321755298,-0.0068190710413056355,1,0.6824852494975266,-0.0068190710413056355
2023-02-10 00:00:00+00:00,1.2953365102136638,0.012718779897574528,1,0.5833404415457522,0.012718779897574528
2023-02-11 00:00:00+00:00,1.2788523723509835,-0.012725757154765316,1,0.5624523533859852,-0.012725757154765316
2023-02-12 00:00:00+00:00,1.2680549021352543,-0.008443093549476477,1,0.5690559733810087,-0.008443093549476477
2023-02-17 00:00:00+00:00,1.274833156135155,0.005345394736842035,1,0.5006278070575134,0.005345394736842035
2023-02-24 00:00:00+00:00,1.2436906051501342,-0.02442872687704012,1,0.5535389942059813,-0.02442872687704012
2023-03-01 00:00:00+00:00,1.243441867029104,-0.0002,0,0.4716121601324238,-0.016943428088939005
2023-03-02 00:00:00+00:00,1.18559214393132,-0.046523866239120325,1,0.518103018488624,-0.046323866239120326
2023-03-03 00:00:00+00:00,1.1485045722118232,-0.03128189732812969,1,0.5308966952485307,-0.03128189732812969
2023-03-04 00:00:00+00:00,1.1487893136453704,0.0002479236395191986,1,0.5254523887435046,0.0002479236395191986
2023-03-05 00:00:00+00:00,1.1749143401733073,0.022741355806171537,1,0.5102326458554796,0.022741355806171537
2023-03-06 00:00:00+00:00,1.1507113183218123,-0.020599818236897938,1,0.5067592073510375,-0.020599818236897938
2023-03-08 00:00:00+00:00,1.0972979535923995,-0.04641769302079202,1,0.5929651619579773,-0.04641769302079202
2023-03-10 00:00:00+00:00,1.0770326078116712,-0.018468407522662655,1,0.5882830451458615,-0.018468407522662655
2023-03-11 00:00:00+00:00,1.200777411535019,0.1148942035977667,1,0.6193464539576927,0.1148942035977667
2023-03-12 00:00:00+00:00,1.2219335417456694,0.017618694362017795,1,0.5573265418182998,0.017618694362017795
2023-03-14 00:00:00+00:00,1.108063131219102,-0.09318871005365048,1,0.6322915487475318,-0.09318871005365048
2023-03-19 00:00:00+00:00,1.0510578871445209,-0.0514458449780415,1,0.6032475075324928,-0.0514458449780415
2023-03-27 00:00:00+00:00,1.0656638860616938,0.013896474300624906,1,0.5554962186085949,0.013896474300624906
2023-04-01 00:00:00+00:00,1.0327737649998616,-0.030863503485495825,1,0.5307528496745921,-0.030863503485495825
2023-04-02 00:00:00+00:00,1.0241468480000366,-0.00835315273507753,1,0.5389713514252502,-0.00835315273507753
2023-04-03 00:00:00+00:00,1.0575162422285258,0.032582626498976364,1,0.5393237426793308,0.032582626498976364
2023-04-04 00:00:00+00:00,1.077765533519781,0.019147971901200878,1,0.5033842199924468,0.019147971901200878
2023-04-05 00:00:00+00:00,1.0758484408531535,-0.0017787659811006051,1,0.5297353268338665,-0.0017787659811006051
2023-04-06 00:00:00+00:00,1.054041511770263,-0.020269517763670586,1,0.5175260155049295,-0.020269517763670586
2023-04-10 00:00:00+00:00,1.053830703467909,-0.0002,0,0.4960426163561056,0.01120776179324201
2023-04-12 00:00:00+00:00,1.0870428107555634,0.03151560035056964,1,0.5166513525678411,0.03171560035056964
2023-04-13 00:00:00+00:00,1.1096089768827426,0.02075922484735848,1,0.5084203731499884,0.02075922484735848
2023-04-14 00:00:00+00:00,1.102452443379494,-0.00644959950067614,1,0.517440335062629,-0.00644959950067614
2023-04-18 00:00:00+00:00,0.9864950910066851,-0.10518127386733289,1,0.5819436088930321,-0.10518127386733289
2023-04-26 00:00:00+00:00,1.0178133076198757,0.0317469563697792,1,0.5531582516345143,0.0317469563697792
2023-05-01 00:00:00+00:00,1.030109285191194,0.012080778939776327,1,0.5095257241070329,0.012080778939776327
2023-05-02 00:00:00+00:00,1.0299032633341558,-0.0002,0,0.4800062809215448,0.02191341528594326
2023-05-03 00:00:00+00:00,1.0118619053875806,-0.017517526731752574,1,0.511810835311867,-0.017317526731752575
2023-05-04 00:00:00+00:00,1.039267745285127,0.027084565345949052,1,0.5427963745063034,0.027084565345949052
2023-05-05 00:00:00+00:00,0.9916366348955048,-0.04583141409488711,1,0.5534830163143006,-0.04583141409488711
2023-05-06 00:00:00+00:00,0.9814641615710881,-0.010258266956311712,1,0.5815008566857758,-0.010258266956311712
2023-05-08 00:00:00+00:00,0.975663093845512,-0.005910626136658936,1,0.5908958219994396,-0.005910626136658936
2023-05-10 00:00:00+00:00,0.9404876233869732,-0.036052886165753084,1,0.560723811952685,-0.036052886165753084
2023-05-11 00:00:00+00:00,0.9552122389277568,0.015656362906463217,1,0.5794002429017352,0.015656362906463217
2023-05-12 00:00:00+00:00,0.9381593722117211,-0.017852437417654743,1,0.5637683982965355,-0.017852437417654743
2023-05-14 00:00:00+00:00,0.9419707422886386,0.004062604062604169,1,0.5808482782299526,0.004062604062604169
2023-05-19 00:00:00+00:00,0.9385680399071433,-0.003612322791712197,1,0.5779228243048424,-0.003612322791712197
2023-05-27 00:00:00+00:00,0.9606815745745529,0.023560928698997063,1,0.5957087084080644,0.023560928698997063
2023-06-01 00:00:00+00:00,0.9884493041997106,0.028904197145089183,1,0.5578573834146502,0.028904197145089183
2023-06-02 00:00:00+00:00,0.9943849122522626,0.0060049696300386035,1,0.5411054842053236,0.0060049696300386035
2023-06-03 00:00:00+00:00,1.008507565894542,0.014202401372212847,1,0.5420645077977563,0.014202401372212847
2023-06-04 00:00:00+00:00,0.9458766671331301,-0.0621025571641185,1,0.5394057782511886,-0.0621025571641185
2023-06-05 00:00:00+00:00,0.9975232797283248,0.05460184650894395,1,0.5657192645271493,0.05460184650894395
2023-06-06 00:00:00+00:00,0.9973237750723791,-0.0002,0,0.4985070784841997,-0.041515628206005184
2023-06-10 00:00:00+00:00,0.991209290506466,-0.006130892212480776,1,0.6250651662127894,-0.005930892212480776
2023-06-12 00:00:00+00:00,1.015242261050596,0.024246111062831366,1,0.5199355880488472,0.024246111062831366
2023-06-13 00:00:00+00:00,0.979408154432825,-0.035296114033599224,1,0.5219586513335243,-0.035296114033599224
2023-06-14 00:00:00+00:00,0.9815616464170661,0.0021987686895339476,1,0.5665651265297728,0.0021987686895339476
2023-06-18 00:00:00+00:00,0.9935192300333756,0.012182203389830448,1,0.5819426055783073,0.012182203389830448
2023-06-26 00:00:00+00:00,0.9966926886736831,0.003194159251654227,1,0.6589631877567866,0.003194159251654227
2023-07-01 00:00:00+00:00,1.006434855337391,0.009774493958285113,1,0.6045213652838713,0.009774493958285113
2023-07-02 00:00:00+00:00,1.016253731974829,0.009756097560975618,1,0.603230187919797,0.009756097560975618
2023-07-03 00:00:00+00:00,0.9999912175440724,-0.016002415458937214,1,0.6010813364119513,-0.016002415458937214
2023-07-04 00:00:00+00:00,0.9709948474741383,-0.028996624731512766,1,0.6018322770279761,-0.028996624731512766
2023-07-05 00:00:00+00:00,0.9472914655915733,-0.024411439405909285,1,0.5797628723190545,-0.024411439405909285
2023-07-06 00:00:00+00:00,0.9764412556089672,0.030771722406672586,1,0.5788393967173678,0.030771722406672586
2023-07-08 00:00:00+00:00,0.9728600876503046,-0.0036675713342623206,1,0.555513722582838,-0.0036675713342623206
2023-07-10 00:00:00+00:00,0.9640608597682829,-0.009044700254148608,1,0.565998813761123,-0.009044700254148608
2023-07-11 00:00:00+00:00,0.9459533577631307,-0.018782529984159302,1,0.5369376511383771,-0.018782529984159302
2023-07-12 00:00:00+00:00,1.0265281056414786,0.08517835178351785,1,0.5551627991326115,0.08517835178351785
2023-07-14 00:00:00+00:00,1.041042539922065,0.014139344262295017,1,0.5980640407808637,0.014139344262295017
2023-07-19 00:00:00+00:00,1.0315162713268389,-0.009150700600514705,1,0.5445989055266613,-0.009150700600514705
2023-07-27 00:00:00+00:00,1.037165405846922,0.0054765345706244695,1,0.5217396531323532,0.0054765345706244695
2023-08-01 00:00:00+00:00,1.0093079900401345,-0.02685918335662163,1,0.5594668845591033,-0.02685918335662163
2023-08-02 00:00:00+00:00,1.0012567137953983,-0.007977026164645795,1,0.5670490574483934,-0.007977026164645795
2023-08-03 00:00:00+00:00,0.9982777415848458,-0.0029752331939530974,1,0.5652290031816852,-0.0029752331939530974
2023-08-04 00:00:00+00:00,1.0015787648451877,0.0033067182837325237,1,0.5606346894914942,0.0033067182837325237
2023-08-05 00:00:00+00:00,1.0138972174996341,0.012299035369774947,1,0.5746502627412562,0.012299035369774947
2023-08-06 00:00:00+00:00,1.0035915839063718,-0.010164377034860617,1,0.5896463213483527,-0.010164377034860617
2023-08-08 00:00:00+00:00,0.9990815933448248,-0.004493850520340459,1,0.620315617534816,-0.004493850520340459
2023-08-10 00:00:00+00:00,0.9960395179804736,-0.003044871794871784,1,0.647048326332151,-0.003044871794871784
2023-08-11 00:00:00+00:00,0.9916365141636495,-0.0044205111718372825,1,0.6279022313771305,-0.0044205111718372825
2023-08-12 00:00:00+00:00,0.9819499057666363,-0.009768305481553274,1,0.618123722941141,-0.009768305481553274
2023-08-14 00:00:00+00:00,0.9388282883924929,-0.04391427416093818,1,0.6198699844073954,-0.04391427416093818
2023-08-19 00:00:00+00:00,0.942823671986355,0.004255712831899405,1,0.5933216250533736,0.004255712831899405
2023-08-27 00:00:00+00:00,0.9585435645165317,0.01667320517850146,1,0.6361316706461551,0.01667320517850146
2023-09-01 00:00:00+00:00,0.9571906448771292,-0.0014114326040932657,1,0.6427647374718337,-0.0014114326040932657
2023-09-02 00:00:00+00:00,0.9536150715444233,-0.0037354871277132107,1,0.6207357791020177,-0.0037354871277132107
2023-09-03 00:00:00+00:00,0.9475269331671129,-0.006384272395622226,1,0.6036008706729682,-0.006384272395622226
2023-09-04 00:00:00+00:00,0.9573839191113297,0.010402855685874624,1,0.6054396513373634,0.010402855685874624
2023-09-05 00:00:00+00:00,0.9605729439756352,0.003330978096295567,1,0.5885453359446373,0.003330978096295567
2023-09-06 00:00:00+00:00,0.9749718744235598,0.014989939637827021,1,0.5720310119717052,0.014989939637827021
