symbol,n,min_d,max_d
1000SHIBUSDT.P,1607,2021-05-09 18:00:00-06:00,2025-10-01 18:00:00-06:00
ADAUSDT,2072,2020-01-30 18:00:00-06:00,2025-10-01 18:00:00-06:00
AVAXUSDT,1836,2020-09-22 18:00:00-06:00,2025-10-01 18:00:00-06:00
BCHUSDT,2115,2019-12-18 18:00:00-06:00,2025-10-01 18:00:00-06:00
BNBUSDT,2062,2020-02-09 18:00:00-06:00,2025-10-01 18:00:00-06:00
BTCUSDT,2217,2019-09-07 18:00:00-06:00,2025-10-01 18:00:00-06:00
DOGEUSDT,1911,2020-07-09 18:00:00-06:00,2025-10-01 18:00:00-06:00
DOTUSDT,1868,2020-08-21 18:00:00-06:00,2025-10-01 18:00:00-06:00
ETCUSDT,2087,2020-01-15 18:00:00-06:00,2025-10-01 18:00:00-06:00
ETHUSDT,2137,2019-11-26 18:00:00-06:00,2025-10-01 18:00:00-06:00
HBARUSDT,1661,2021-03-16 18:00:00-06:00,2025-10-01 18:00:00-06:00
LINKUSDT,2086,2020-01-16 18:00:00-06:00,2025-10-01 18:00:00-06:00
LTCUSDT,2094,2020-01-08 18:00:00-06:00,2025-10-01 18:00:00-06:00
SOLUSDT,1845,2020-09-13 18:00:00-06:00,2025-10-01 18:00:00-06:00
TRXUSDT,2088,2020-01-14 18:00:00-06:00,2025-10-01 18:00:00-06:00
UNIUSDT,1841,2020-09-17 18:00:00-06:00,2025-10-01 18:00:00-06:00
XLMUSDT,2083,2020-01-19 18:00:00-06:00,2025-10-01 18:00:00-06:00
XMRUSDT.P,2069,2020-02-02 18:00:00-06:00,2025-10-01 18:00:00-06:00
XRPUSDT,2097,2020-01-05 18:00:00-06:00,2025-10-01 18:00:00-06:00
