date,equity,strat_ret
2023-01-01 00:00:00+00:00,1.0,0.0
2023-01-02 00:00:00+00:00,1.0,0.0
2023-01-03 00:00:00+00:00,1.0,-0.0
2023-01-04 00:00:00+00:00,1.0,0.0
2023-01-05 00:00:00+00:00,1.0,-0.0
2023-01-06 00:00:00+00:00,1.0,0.0
2023-01-08 00:00:00+00:00,1.0,0.0
2023-01-10 00:00:00+00:00,1.0,0.0
2023-01-11 00:00:00+00:00,1.0,0.0
2023-01-12 00:00:00+00:00,1.0,0.0
2023-01-14 00:00:00+00:00,1.0,0.0
2023-01-19 00:00:00+00:00,1.0,-0.0
2023-01-27 00:00:00+00:00,1.0,0.0
2023-02-01 00:00:00+00:00,1.0,-0.0
2023-02-02 00:00:00+00:00,1.0,-0.0
2023-02-03 00:00:00+00:00,1.0,0.0
2023-02-04 00:00:00+00:00,1.0,0.0
2023-02-06 00:00:00+00:00,0.9998,-0.0002
2023-02-08 00:00:00+00:00,1.0243391128124297,0.024544021616752953
2023-02-09 00:00:00+00:00,0.9623159423553255,-0.0605494505494506
2023-02-10 00:00:00+00:00,0.9638918486827293,0.0016376184349047307
2023-02-11 00:00:00+00:00,0.9695200855663141,0.005839075090505741
2023-02-12 00:00:00+00:00,0.9565751407340691,-0.013351909903633996
2023-02-17 00:00:00+00:00,1.0207708556541322,0.06710995528359606
2023-02-24 00:00:00+00:00,1.0205667014830013,-0.0002
2023-03-01 00:00:00+00:00,1.0075030810059002,-0.012800359308331455
2023-03-02 00:00:00+00:00,1.002231795550228,-0.005232029117379411
2023-03-03 00:00:00+00:00,0.9806882810792192,-0.021495540818659897
2023-03-04 00:00:00+00:00,0.9583426144736515,-0.022785697592895615
2023-03-05 00:00:00+00:00,0.9467687051035883,-0.012077005859141399
2023-03-06 00:00:00+00:00,0.9551340059354161,0.008835633018639433
2023-03-08 00:00:00+00:00,0.9346218299231258,-0.021475704859028166
2023-03-10 00:00:00+00:00,0.8942127056671195,-0.04323580186365863
2023-03-11 00:00:00+00:00,0.8942127056671195,0.0
2023-03-12 00:00:00+00:00,0.8942127056671195,0.0
2023-03-14 00:00:00+00:00,0.8942127056671195,0.0
2023-03-19 00:00:00+00:00,0.8942127056671195,-0.0
2023-03-27 00:00:00+00:00,0.8942127056671195,0.0
2023-04-01 00:00:00+00:00,0.8942127056671195,0.0
2023-04-02 00:00:00+00:00,0.8942127056671195,-0.0
2023-04-03 00:00:00+00:00,0.8942127056671195,0.0
2023-04-04 00:00:00+00:00,0.8942127056671195,-0.0
2023-04-05 00:00:00+00:00,0.8942127056671195,0.0
2023-04-06 00:00:00+00:00,0.8942127056671195,-0.0
2023-04-10 00:00:00+00:00,0.8942127056671195,-0.0
2023-04-12 00:00:00+00:00,0.8942127056671195,-0.0
2023-04-13 00:00:00+00:00,0.8942127056671195,0.0
2023-04-14 00:00:00+00:00,0.8942127056671195,0.0
2023-04-18 00:00:00+00:00,0.8942127056671195,-0.0
2023-04-26 00:00:00+00:00,0.8940338631259861,-0.0002
2023-05-01 00:00:00+00:00,0.8852475416249336,-0.009827727856225899
2023-05-02 00:00:00+00:00,0.8852475416249336,0.0
2023-05-03 00:00:00+00:00,0.8852475416249336,0.0
