date,ret,gross,fee_cost,turnover,equity
2024-08-12 00:00:00+00:00,-0.00020000000000000006,0.0,0.00020000000000000006,1.0000000000000002,0.9998
2024-08-14 00:00:00+00:00,0.045113404817485776,0.04511970451164922,6.299694163441427e-06,0.031498470817207136,1.0449043821365223
2024-08-19 00:00:00+00:00,0.01828762122065414,0.018301666643378907,1.4045422724765123e-05,0.07022711362382561,1.0640131976888367
2024-08-27 00:00:00+00:00,-0.004022205664601488,-0.0038390445393590962,0.00018316112524239102,0.915805626211955,1.059733517777882
2024-09-01 00:00:00+00:00,0.025483412313454714,0.025579191741011337,9.57794275566221e-05,0.4788971377831105,1.0867391439538034
2024-09-02 00:00:00+00:00,-0.011144921518866499,-0.011141716580067837,3.20493879866135e-06,0.01602469399330675,1.0746275214829581
2024-09-03 00:00:00+00:00,-0.00138094504265181,-0.0013013821127006706,7.956292995113927e-05,0.39781464975569636,1.073143519934469
2024-09-04 00:00:00+00:00,-0.009993532328886978,-0.009984968846025344,8.563482861633382e-06,0.04281741430816691,1.0624190254744683
2024-09-05 00:00:00+00:00,-0.030115716363986467,-0.030032245426438547,8.347093754791826e-05,0.4173546877395913,1.0304235154435764
2024-09-06 00:00:00+00:00,0.048988229639143004,0.04907304175286138,8.481211371838108e-05,0.4240605685919054,1.0809021392436993
2024-09-10 00:00:00+00:00,0.018018385903923514,0.018112004850144966,9.361894622145257e-05,0.46809473110726285,1.1003782511129687
2024-09-12 00:00:00+00:00,0.007213403795979903,0.007301587526867973,8.818373088806995e-05,0.4409186544403497,1.1083157237665606
2024-09-13 00:00:00+00:00,-0.0034463728469231866,-0.003359159435170062,8.721341175312451e-05,0.4360670587656225,1.1044960545503535
2024-09-14 00:00:00+00:00,0.010118248802868287,0.010122942354948613,4.693552080325997e-06,0.023467760401629983,1.1156716204320805
2024-09-18 00:00:00+00:00,0.02399656919297456,0.024068130400224548,7.156120724999028e-05,0.3578060362499514,1.142443911668417
2024-09-26 00:00:00+00:00,-0.05945933549548316,-0.059318573837775425,0.0001407616577077345,0.7038082885386725,1.0745149558397527
2024-10-01 00:00:00+00:00,-0.017965177287683164,-0.017941753866143394,2.3423421539771516e-05,0.11711710769885758,1.0552111041598244
2024-10-02 00:00:00+00:00,0.016499632965436696,0.016571944070779807,7.231110534311221e-05,0.361555526715561,1.0726217000795149
2024-10-03 00:00:00+00:00,0.012910275392032645,0.012913446961185363,3.171569152717652e-06,0.015857845763588257,1.0864695416190118
2024-10-04 00:00:00+00:00,0.000863302439777682,0.0009250294416267073,6.172700184902533e-05,0.30863500924512666,1.0874074934250357
2024-10-05 00:00:00+00:00,0.00854764596418575,0.008552085036592676,4.439072406926409e-06,0.022195362034632043,1.0967022676976357
2024-10-06 00:00:00+00:00,0.006863059382065033,0.006932078473084394,6.901909101936141e-05,0.34509545509680706,1.10422900048529
2024-10-08 00:00:00+00:00,-0.016724078770372405,-0.01665336735226219,7.07114181102159e-05,0.35355709055107953,1.0857617877006445
