symbol,n,min_d,max_d
1000SHIBUSDT.P,1611,2021-05-09 18:00:00-06:00,2025-10-05 18:00:00-06:00
ADAUSDT,2076,2020-01-30 18:00:00-06:00,2025-10-05 18:00:00-06:00
AVAXUSDT,1840,2020-09-22 18:00:00-06:00,2025-10-05 18:00:00-06:00
BCHUSDT,2119,2019-12-18 18:00:00-06:00,2025-10-05 18:00:00-06:00
BNBUSDT,2066,2020-02-09 18:00:00-06:00,2025-10-05 18:00:00-06:00
BTCUSDT,2221,2019-09-07 18:00:00-06:00,2025-10-05 18:00:00-06:00
DOGEUSDT,1915,2020-07-09 18:00:00-06:00,2025-10-05 18:00:00-06:00
DOTUSDT,1872,2020-08-21 18:00:00-06:00,2025-10-05 18:00:00-06:00
ETCUSDT,2091,2020-01-15 18:00:00-06:00,2025-10-05 18:00:00-06:00
ETHUSDT,2141,2019-11-26 18:00:00-06:00,2025-10-05 18:00:00-06:00
HBARUSDT,1665,2021-03-16 18:00:00-06:00,2025-10-05 18:00:00-06:00
LINKUSDT,2090,2020-01-16 18:00:00-06:00,2025-10-05 18:00:00-06:00
LTCUSDT,2098,2020-01-08 18:00:00-06:00,2025-10-05 18:00:00-06:00
SOLUSDT,1849,2020-09-13 18:00:00-06:00,2025-10-05 18:00:00-06:00
TRXUSDT,2092,2020-01-14 18:00:00-06:00,2025-10-05 18:00:00-06:00
UNIUSDT,1845,2020-09-17 18:00:00-06:00,2025-10-05 18:00:00-06:00
XLMUSDT,2087,2020-01-19 18:00:00-06:00,2025-10-05 18:00:00-06:00
XMRUSDT.P,2073,2020-02-02 18:00:00-06:00,2025-10-05 18:00:00-06:00
XRPUSDT,2101,2020-01-05 18:00:00-06:00,2025-10-05 18:00:00-06:00
