symbol,n,min_d,max_d
1000SHIBUSDT.P,1615,2021-05-09 18:00:00-06:00,2025-10-09 18:00:00-06:00
ADAUSDT,2080,2020-01-30 18:00:00-06:00,2025-10-09 18:00:00-06:00
AVAXUSDT,1844,2020-09-22 18:00:00-06:00,2025-10-09 18:00:00-06:00
BCHUSDT,2123,2019-12-18 18:00:00-06:00,2025-10-09 18:00:00-06:00
BNBUSDT,2070,2020-02-09 18:00:00-06:00,2025-10-09 18:00:00-06:00
BTCUSDT,2225,2019-09-07 18:00:00-06:00,2025-10-09 18:00:00-06:00
DOGEUSDT,1919,2020-07-09 18:00:00-06:00,2025-10-09 18:00:00-06:00
DOTUSDT,1876,2020-08-21 18:00:00-06:00,2025-10-09 18:00:00-06:00
ETCUSDT,2095,2020-01-15 18:00:00-06:00,2025-10-09 18:00:00-06:00
ETHUSDT,2145,2019-11-26 18:00:00-06:00,2025-10-09 18:00:00-06:00
HBARUSDT,1669,2021-03-16 18:00:00-06:00,2025-10-09 18:00:00-06:00
LINKUSDT,2094,2020-01-16 18:00:00-06:00,2025-10-09 18:00:00-06:00
LTCUSDT,2102,2020-01-08 18:00:00-06:00,2025-10-09 18:00:00-06:00
SOLUSDT,1853,2020-09-13 18:00:00-06:00,2025-10-09 18:00:00-06:00
TRXUSDT,2096,2020-01-14 18:00:00-06:00,2025-10-09 18:00:00-06:00
UNIUSDT,1849,2020-09-17 18:00:00-06:00,2025-10-09 18:00:00-06:00
XLMUSDT,2091,2020-01-19 18:00:00-06:00,2025-10-09 18:00:00-06:00
XMRUSDT.P,2077,2020-02-02 18:00:00-06:00,2025-10-09 18:00:00-06:00
XRPUSDT,2105,2020-01-05 18:00:00-06:00,2025-10-09 18:00:00-06:00
