symbol,n,min_d,max_d
1000SHIBUSDT.P,1594,2021-05-09 18:00:00-06:00,2025-09-18 18:00:00-06:00
ADAUSDT,2059,2020-01-30 18:00:00-06:00,2025-09-18 18:00:00-06:00
AVAXUSDT,1823,2020-09-22 18:00:00-06:00,2025-09-18 18:00:00-06:00
BCHUSDT,2102,2019-12-18 18:00:00-06:00,2025-09-18 18:00:00-06:00
BNBUSDT,2049,2020-02-09 18:00:00-06:00,2025-09-18 18:00:00-06:00
BTCUSDT,2204,2019-09-07 18:00:00-06:00,2025-09-18 18:00:00-06:00
DOGEUSDT,1898,2020-07-09 18:00:00-06:00,2025-09-18 18:00:00-06:00
DOTUSDT,1855,2020-08-21 18:00:00-06:00,2025-09-18 18:00:00-06:00
ETCUSDT,2074,2020-01-15 18:00:00-06:00,2025-09-18 18:00:00-06:00
ETHUSDT,2124,2019-11-26 18:00:00-06:00,2025-09-18 18:00:00-06:00
HBARUSDT,1648,2021-03-16 18:00:00-06:00,2025-09-18 18:00:00-06:00
LINKUSDT,2073,2020-01-16 18:00:00-06:00,2025-09-18 18:00:00-06:00
LTCUSDT,2081,2020-01-08 18:00:00-06:00,2025-09-18 18:00:00-06:00
SOLUSDT,1832,2020-09-13 18:00:00-06:00,2025-09-18 18:00:00-06:00
TRXUSDT,2075,2020-01-14 18:00:00-06:00,2025-09-18 18:00:00-06:00
UNIUSDT,1828,2020-09-17 18:00:00-06:00,2025-09-18 18:00:00-06:00
XLMUSDT,2070,2020-01-19 18:00:00-06:00,2025-09-18 18:00:00-06:00
XMRUSDT.P,2056,2020-02-02 18:00:00-06:00,2025-09-18 18:00:00-06:00
XRPUSDT,2084,2020-01-05 18:00:00-06:00,2025-09-18 18:00:00-06:00
