symbol,train_start,train_end,test_start,test_end,n_train,n_test,fee_bps,acc,precision,recall,auc,maxdd,sharpe
AVAXUSDT,2020-10-18 18:00:00-06:00,2023-06-12 18:00:00-06:00,2023-06-13 18:00:00-06:00,2023-09-09 18:00:00-06:00,401,36,2.0,0.4444444444444444,0.4444444444444444,1.0,0.43125,-0.09818450986376037,-0.45370002037778306
AVAXUSDT,2020-10-18 18:00:00-06:00,2024-10-13 18:00:00-06:00,2024-10-18 18:00:00-06:00,2025-01-11 18:00:00-06:00,603,37,2.0,0.5945945945945946,0.6060606060606061,0.9090909090909091,0.44545454545454544,-0.18605627697853555,3.1785208350641447
