symbol,n,min_d,max_d
1000SHIBUSDT.P,1636,2021-05-09 18:00:00-06:00,2025-10-30 18:00:00-06:00
ADAUSDT,2101,2020-01-30 18:00:00-06:00,2025-10-30 18:00:00-06:00
AVAXUSDT,1865,2020-09-22 18:00:00-06:00,2025-10-30 18:00:00-06:00
BCHUSDT,2144,2019-12-18 18:00:00-06:00,2025-10-30 18:00:00-06:00
BNBUSDT,2091,2020-02-09 18:00:00-06:00,2025-10-30 18:00:00-06:00
BTCUSDT,2246,2019-09-07 18:00:00-06:00,2025-10-30 18:00:00-06:00
DOGEUSDT,1940,2020-07-09 18:00:00-06:00,2025-10-30 18:00:00-06:00
DOTUSDT,1897,2020-08-21 18:00:00-06:00,2025-10-30 18:00:00-06:00
ETCUSDT,2116,2020-01-15 18:00:00-06:00,2025-10-30 18:00:00-06:00
ETHUSDT,2166,2019-11-26 18:00:00-06:00,2025-10-30 18:00:00-06:00
HBARUSDT,1690,2021-03-16 18:00:00-06:00,2025-10-30 18:00:00-06:00
LINKUSDT,2115,2020-01-16 18:00:00-06:00,2025-10-30 18:00:00-06:00
LTCUSDT,2123,2020-01-08 18:00:00-06:00,2025-10-30 18:00:00-06:00
SOLUSDT,1874,2020-09-13 18:00:00-06:00,2025-10-30 18:00:00-06:00
TRXUSDT,2117,2020-01-14 18:00:00-06:00,2025-10-30 18:00:00-06:00
UNIUSDT,1870,2020-09-17 18:00:00-06:00,2025-10-30 18:00:00-06:00
XLMUSDT,2112,2020-01-19 18:00:00-06:00,2025-10-30 18:00:00-06:00
XMRUSDT.P,2098,2020-02-02 18:00:00-06:00,2025-10-30 18:00:00-06:00
XRPUSDT,2126,2020-01-05 18:00:00-06:00,2025-10-30 18:00:00-06:00
