symbol,n,min_d,max_d
1000SHIBUSDT.P,1613,2021-05-09 18:00:00-06:00,2025-10-07 18:00:00-06:00
ADAUSDT,2078,2020-01-30 18:00:00-06:00,2025-10-07 18:00:00-06:00
AVAXUSDT,1842,2020-09-22 18:00:00-06:00,2025-10-07 18:00:00-06:00
BCHUSDT,2121,2019-12-18 18:00:00-06:00,2025-10-07 18:00:00-06:00
BNBUSDT,2068,2020-02-09 18:00:00-06:00,2025-10-07 18:00:00-06:00
BTCUSDT,2223,2019-09-07 18:00:00-06:00,2025-10-07 18:00:00-06:00
DOGEUSDT,1917,2020-07-09 18:00:00-06:00,2025-10-07 18:00:00-06:00
DOTUSDT,1874,2020-08-21 18:00:00-06:00,2025-10-07 18:00:00-06:00
ETCUSDT,2093,2020-01-15 18:00:00-06:00,2025-10-07 18:00:00-06:00
ETHUSDT,2143,2019-11-26 18:00:00-06:00,2025-10-07 18:00:00-06:00
HBARUSDT,1667,2021-03-16 18:00:00-06:00,2025-10-07 18:00:00-06:00
LINKUSDT,2092,2020-01-16 18:00:00-06:00,2025-10-07 18:00:00-06:00
LTCUSDT,2100,2020-01-08 18:00:00-06:00,2025-10-07 18:00:00-06:00
SOLUSDT,1851,2020-09-13 18:00:00-06:00,2025-10-07 18:00:00-06:00
TRXUSDT,2094,2020-01-14 18:00:00-06:00,2025-10-07 18:00:00-06:00
UNIUSDT,1847,2020-09-17 18:00:00-06:00,2025-10-07 18:00:00-06:00
XLMUSDT,2089,2020-01-19 18:00:00-06:00,2025-10-07 18:00:00-06:00
XMRUSDT.P,2075,2020-02-02 18:00:00-06:00,2025-10-07 18:00:00-06:00
XRPUSDT,2103,2020-01-05 18:00:00-06:00,2025-10-07 18:00:00-06:00
