symbol,n,min_d,max_d
1000SHIBUSDT.P,1630,2021-05-09 18:00:00-06:00,2025-10-24 18:00:00-06:00
ADAUSDT,2095,2020-01-30 18:00:00-06:00,2025-10-24 18:00:00-06:00
AVAXUSDT,1859,2020-09-22 18:00:00-06:00,2025-10-24 18:00:00-06:00
BCHUSDT,2138,2019-12-18 18:00:00-06:00,2025-10-24 18:00:00-06:00
BNBUSDT,2085,2020-02-09 18:00:00-06:00,2025-10-24 18:00:00-06:00
BTCUSDT,2240,2019-09-07 18:00:00-06:00,2025-10-24 18:00:00-06:00
DOGEUSDT,1934,2020-07-09 18:00:00-06:00,2025-10-24 18:00:00-06:00
DOTUSDT,1891,2020-08-21 18:00:00-06:00,2025-10-24 18:00:00-06:00
ETCUSDT,2110,2020-01-15 18:00:00-06:00,2025-10-24 18:00:00-06:00
ETHUSDT,2160,2019-11-26 18:00:00-06:00,2025-10-24 18:00:00-06:00
HBARUSDT,1684,2021-03-16 18:00:00-06:00,2025-10-24 18:00:00-06:00
LINKUSDT,2109,2020-01-16 18:00:00-06:00,2025-10-24 18:00:00-06:00
LTCUSDT,2117,2020-01-08 18:00:00-06:00,2025-10-24 18:00:00-06:00
SOLUSDT,1868,2020-09-13 18:00:00-06:00,2025-10-24 18:00:00-06:00
TRXUSDT,2111,2020-01-14 18:00:00-06:00,2025-10-24 18:00:00-06:00
UNIUSDT,1864,2020-09-17 18:00:00-06:00,2025-10-24 18:00:00-06:00
XLMUSDT,2106,2020-01-19 18:00:00-06:00,2025-10-24 18:00:00-06:00
XMRUSDT.P,2092,2020-02-02 18:00:00-06:00,2025-10-24 18:00:00-06:00
XRPUSDT,2120,2020-01-05 18:00:00-06:00,2025-10-24 18:00:00-06:00
