symbol,train_start,train_end,test_start,test_end,n_train,n_test,fee_bps,acc,precision,recall,auc,maxdd,sharpe
LINKUSDT,2020-02-11 18:00:00-06:00,2022-10-05 18:00:00-06:00,2022-10-07 18:00:00-06:00,2023-01-03 18:00:00-06:00,400,36,2.0,0.3888888888888889,0.3888888888888889,1.0,0.4383116883116883,-0.18594172775434958,-0.27781638012236554
LINKUSDT,2020-02-11 18:00:00-06:00,2024-02-05 18:00:00-06:00,2024-02-09 18:00:00-06:00,2024-05-07 18:00:00-06:00,602,37,2.0,0.5945945945945946,0.5945945945945946,1.0,0.31818181818181823,-0.19792258333846124,0.2585879476527184
LINKUSDT,2020-02-11 18:00:00-06:00,2025-06-12 18:00:00-06:00,2025-06-13 18:00:00-06:00,2025-08-13 18:00:00-06:00,805,27,2.0,0.4444444444444444,0.6363636363636364,0.3888888888888889,0.5617283950617284,-0.08319389498078111,3.0575219900896986
