symbol,n,min_d,max_d
1000SHIBUSDT.P,1599,2021-05-09 18:00:00-06:00,2025-09-23 18:00:00-06:00
ADAUSDT,2064,2020-01-30 18:00:00-06:00,2025-09-23 18:00:00-06:00
AVAXUSDT,1828,2020-09-22 18:00:00-06:00,2025-09-23 18:00:00-06:00
BCHUSDT,2107,2019-12-18 18:00:00-06:00,2025-09-23 18:00:00-06:00
BNBUSDT,2054,2020-02-09 18:00:00-06:00,2025-09-23 18:00:00-06:00
BTCUSDT,2209,2019-09-07 18:00:00-06:00,2025-09-23 18:00:00-06:00
DOGEUSDT,1903,2020-07-09 18:00:00-06:00,2025-09-23 18:00:00-06:00
DOTUSDT,1860,2020-08-21 18:00:00-06:00,2025-09-23 18:00:00-06:00
ETCUSDT,2079,2020-01-15 18:00:00-06:00,2025-09-23 18:00:00-06:00
ETHUSDT,2129,2019-11-26 18:00:00-06:00,2025-09-23 18:00:00-06:00
HBARUSDT,1653,2021-03-16 18:00:00-06:00,2025-09-23 18:00:00-06:00
LINKUSDT,2078,2020-01-16 18:00:00-06:00,2025-09-23 18:00:00-06:00
LTCUSDT,2086,2020-01-08 18:00:00-06:00,2025-09-23 18:00:00-06:00
SOLUSDT,1837,2020-09-13 18:00:00-06:00,2025-09-23 18:00:00-06:00
TRXUSDT,2080,2020-01-14 18:00:00-06:00,2025-09-23 18:00:00-06:00
UNIUSDT,1833,2020-09-17 18:00:00-06:00,2025-09-23 18:00:00-06:00
XLMUSDT,2075,2020-01-19 18:00:00-06:00,2025-09-23 18:00:00-06:00
XMRUSDT.P,2061,2020-02-02 18:00:00-06:00,2025-09-23 18:00:00-06:00
XRPUSDT,2089,2020-01-05 18:00:00-06:00,2025-09-23 18:00:00-06:00
