symbol,n,min_d,max_d
1000SHIBUSDT.P,1590,2021-05-09 18:00:00-06:00,2025-09-14 18:00:00-06:00
ADAUSDT,2055,2020-01-30 18:00:00-06:00,2025-09-14 18:00:00-06:00
AVAXUSDT,1819,2020-09-22 18:00:00-06:00,2025-09-14 18:00:00-06:00
BCHUSDT,2098,2019-12-18 18:00:00-06:00,2025-09-14 18:00:00-06:00
BNBUSDT,2045,2020-02-09 18:00:00-06:00,2025-09-14 18:00:00-06:00
BTCUSDT,2200,2019-09-07 18:00:00-06:00,2025-09-14 18:00:00-06:00
DOGEUSDT,1894,2020-07-09 18:00:00-06:00,2025-09-14 18:00:00-06:00
DOTUSDT,1851,2020-08-21 18:00:00-06:00,2025-09-14 18:00:00-06:00
ETCUSDT,2070,2020-01-15 18:00:00-06:00,2025-09-14 18:00:00-06:00
ETHUSDT,2120,2019-11-26 18:00:00-06:00,2025-09-14 18:00:00-06:00
HBARUSDT,1644,2021-03-16 18:00:00-06:00,2025-09-14 18:00:00-06:00
LINKUSDT,2069,2020-01-16 18:00:00-06:00,2025-09-14 18:00:00-06:00
LTCUSDT,2077,2020-01-08 18:00:00-06:00,2025-09-14 18:00:00-06:00
SOLUSDT,1828,2020-09-13 18:00:00-06:00,2025-09-14 18:00:00-06:00
TRXUSDT,2071,2020-01-14 18:00:00-06:00,2025-09-14 18:00:00-06:00
UNIUSDT,1824,2020-09-17 18:00:00-06:00,2025-09-14 18:00:00-06:00
XLMUSDT,2066,2020-01-19 18:00:00-06:00,2025-09-14 18:00:00-06:00
XMRUSDT.P,2052,2020-02-02 18:00:00-06:00,2025-09-14 18:00:00-06:00
XRPUSDT,2080,2020-01-05 18:00:00-06:00,2025-09-14 18:00:00-06:00
