symbol,train_start,train_end,test_start,test_end,n_train,n_test,fee_bps,acc,precision,recall,auc,maxdd,sharpe
UNIUSDT,2020-10-13 18:00:00-06:00,2023-06-09 18:00:00-06:00,2023-06-11 18:00:00-06:00,2023-09-05 18:00:00-06:00,400,37,2.0,0.4594594594594595,0.4642857142857143,0.7222222222222222,0.5409356725146199,-0.12150231931767186,-0.5779455210062203
UNIUSDT,2020-10-13 18:00:00-06:00,2024-10-11 18:00:00-06:00,2024-10-13 18:00:00-06:00,2025-01-10 18:00:00-06:00,603,37,2.0,0.6486486486486487,0.6538461538461539,0.8095238095238095,0.6875,-0.15141077858971896,5.102362290823475
