symbol,train_start,train_end,test_start,test_end,n_train,n_test,fee_bps,acc,precision,recall,auc,maxdd,sharpe
HBARUSDT,2021-04-11 18:00:00-06:00,2023-12-04 18:00:00-06:00,2023-12-05 18:00:00-06:00,2024-03-03 18:00:00-06:00,400,36,2.0,0.4722222222222222,0.0,0.0,0.48606811145510836,0.0,0.0
HBARUSDT,2021-04-11 18:00:00-06:00,2025-04-05 18:00:00-06:00,2025-04-09 18:00:00-06:00,2025-07-05 18:00:00-06:00,602,37,2.0,0.43243243243243246,0.43243243243243246,1.0,0.41369047619047616,-0.24872827894703742,-2.2157528190755205
