symbol,n,min_d,max_d
1000SHIBUSDT.P,1673,2021-05-09 18:00:00-06:00,2025-12-06 18:00:00-06:00
ADAUSDT,2138,2020-01-30 18:00:00-06:00,2025-12-06 18:00:00-06:00
AVAXUSDT,1902,2020-09-22 18:00:00-06:00,2025-12-06 18:00:00-06:00
BCHUSDT,2181,2019-12-18 18:00:00-06:00,2025-12-06 18:00:00-06:00
BNBUSDT,2128,2020-02-09 18:00:00-06:00,2025-12-06 18:00:00-06:00
BTCUSDT,2283,2019-09-07 18:00:00-06:00,2025-12-06 18:00:00-06:00
DOGEUSDT,1977,2020-07-09 18:00:00-06:00,2025-12-06 18:00:00-06:00
DOTUSDT,1934,2020-08-21 18:00:00-06:00,2025-12-06 18:00:00-06:00
ETCUSDT,2153,2020-01-15 18:00:00-06:00,2025-12-06 18:00:00-06:00
ETHUSDT,2203,2019-11-26 18:00:00-06:00,2025-12-06 18:00:00-06:00
HBARUSDT,1727,2021-03-16 18:00:00-06:00,2025-12-06 18:00:00-06:00
LINKUSDT,2152,2020-01-16 18:00:00-06:00,2025-12-06 18:00:00-06:00
LTCUSDT,2160,2020-01-08 18:00:00-06:00,2025-12-06 18:00:00-06:00
SOLUSDT,1911,2020-09-13 18:00:00-06:00,2025-12-06 18:00:00-06:00
TRXUSDT,2154,2020-01-14 18:00:00-06:00,2025-12-06 18:00:00-06:00
UNIUSDT,1907,2020-09-17 18:00:00-06:00,2025-12-06 18:00:00-06:00
XLMUSDT,2149,2020-01-19 18:00:00-06:00,2025-12-06 18:00:00-06:00
XMRUSDT.P,2135,2020-02-02 18:00:00-06:00,2025-12-06 18:00:00-06:00
XRPUSDT,2163,2020-01-05 18:00:00-06:00,2025-12-06 18:00:00-06:00
