symbol,n,min_d,max_d
1000SHIBUSDT.P,1596,2021-05-09 18:00:00-06:00,2025-09-20 18:00:00-06:00
ADAUSDT,2061,2020-01-30 18:00:00-06:00,2025-09-20 18:00:00-06:00
AVAXUSDT,1825,2020-09-22 18:00:00-06:00,2025-09-20 18:00:00-06:00
BCHUSDT,2104,2019-12-18 18:00:00-06:00,2025-09-20 18:00:00-06:00
BNBUSDT,2051,2020-02-09 18:00:00-06:00,2025-09-20 18:00:00-06:00
BTCUSDT,2206,2019-09-07 18:00:00-06:00,2025-09-20 18:00:00-06:00
DOGEUSDT,1900,2020-07-09 18:00:00-06:00,2025-09-20 18:00:00-06:00
DOTUSDT,1857,2020-08-21 18:00:00-06:00,2025-09-20 18:00:00-06:00
ETCUSDT,2076,2020-01-15 18:00:00-06:00,2025-09-20 18:00:00-06:00
ETHUSDT,2126,2019-11-26 18:00:00-06:00,2025-09-20 18:00:00-06:00
HBARUSDT,1650,2021-03-16 18:00:00-06:00,2025-09-20 18:00:00-06:00
LINKUSDT,2075,2020-01-16 18:00:00-06:00,2025-09-20 18:00:00-06:00
LTCUSDT,2083,2020-01-08 18:00:00-06:00,2025-09-20 18:00:00-06:00
SOLUSDT,1834,2020-09-13 18:00:00-06:00,2025-09-20 18:00:00-06:00
TRXUSDT,2077,2020-01-14 18:00:00-06:00,2025-09-20 18:00:00-06:00
UNIUSDT,1830,2020-09-17 18:00:00-06:00,2025-09-20 18:00:00-06:00
XLMUSDT,2072,2020-01-19 18:00:00-06:00,2025-09-20 18:00:00-06:00
XMRUSDT.P,2058,2020-02-02 18:00:00-06:00,2025-09-20 18:00:00-06:00
XRPUSDT,2086,2020-01-05 18:00:00-06:00,2025-09-20 18:00:00-06:00
