feature,count,na,min,max,mean,std
adx_14,15049,0,5.03192022181414,96.70283504861052,37.13975898232752,15.820879869497205
atr_14,15049,0,6.235714285714286e-05,6177.421428571429,121.76555916874877,539.573002291446
ema_12,15049,0,0.002573467807197383,118227.53848993617,2639.1268433554305,12001.066504248192
ema_26,15049,0,0.002605847698788321,116985.51672131136,2618.427940700355,11894.690614504341
ret_fwd_1d,15049,0,-0.4775884665792922,3.8980582524271847,0.0034360304135542565,0.0645721024473425
ret_pct,15049,0,-0.4775884665792922,0.9582128659197688,0.0018206779844527916,0.05747500357303882
rsi_14,15049,0,4.494382022471896,99.42811187561436,51.123049570390485,16.723945362006425
sma_20,15049,0,0.00259875,117958.335,2627.110656335564,11962.64430360278
sma_7,15049,0,0.0025537142857142855,118942.08571428573,2646.594996958659,12032.673961065375
trades,15049,0,8088.0,26436121.0,1003570.0129576717,1453983.4254000685
volume,15049,0,28421.111,424938078560.0,1722061871.3155391,10094524065.5886
