symbol,train_start,train_end,test_start,test_end,n_train,n_test,fee_bps,acc,precision,recall,auc,maxdd,sharpe
ETHUSDT,2019-12-26 18:00:00-06:00,2022-08-11 18:00:00-06:00,2022-08-13 18:00:00-06:00,2022-11-09 18:00:00-06:00,400,35,2.0,0.37142857142857144,0.37142857142857144,1.0,0.46153846153846156,-0.17930248771021717,-2.1060916489399455
ETHUSDT,2019-12-26 18:00:00-06:00,2023-12-13 18:00:00-06:00,2023-12-18 18:00:00-06:00,2024-03-13 18:00:00-06:00,602,37,2.0,0.3783783783783784,0.0,0.0,0.47826086956521735,0.0,0.0
ETHUSDT,2019-12-26 18:00:00-06:00,2025-04-17 18:00:00-06:00,2025-04-25 18:00:00-06:00,2025-07-18 18:00:00-06:00,803,38,2.0,0.47368421052631576,0.5,0.8,0.475,-0.08782079731888814,2.3259242520049477
