symbol,n,min_d,max_d
1000SHIBUSDT.P,1622,2021-05-09 18:00:00-06:00,2025-10-16 18:00:00-06:00
ADAUSDT,2087,2020-01-30 18:00:00-06:00,2025-10-16 18:00:00-06:00
AVAXUSDT,1851,2020-09-22 18:00:00-06:00,2025-10-16 18:00:00-06:00
BCHUSDT,2130,2019-12-18 18:00:00-06:00,2025-10-16 18:00:00-06:00
BNBUSDT,2077,2020-02-09 18:00:00-06:00,2025-10-16 18:00:00-06:00
BTCUSDT,2232,2019-09-07 18:00:00-06:00,2025-10-16 18:00:00-06:00
DOGEUSDT,1926,2020-07-09 18:00:00-06:00,2025-10-16 18:00:00-06:00
DOTUSDT,1883,2020-08-21 18:00:00-06:00,2025-10-16 18:00:00-06:00
ETCUSDT,2102,2020-01-15 18:00:00-06:00,2025-10-16 18:00:00-06:00
ETHUSDT,2152,2019-11-26 18:00:00-06:00,2025-10-16 18:00:00-06:00
HBARUSDT,1676,2021-03-16 18:00:00-06:00,2025-10-16 18:00:00-06:00
LINKUSDT,2101,2020-01-16 18:00:00-06:00,2025-10-16 18:00:00-06:00
LTCUSDT,2109,2020-01-08 18:00:00-06:00,2025-10-16 18:00:00-06:00
SOLUSDT,1860,2020-09-13 18:00:00-06:00,2025-10-16 18:00:00-06:00
TRXUSDT,2103,2020-01-14 18:00:00-06:00,2025-10-16 18:00:00-06:00
UNIUSDT,1856,2020-09-17 18:00:00-06:00,2025-10-16 18:00:00-06:00
XLMUSDT,2098,2020-01-19 18:00:00-06:00,2025-10-16 18:00:00-06:00
XMRUSDT.P,2084,2020-02-02 18:00:00-06:00,2025-10-16 18:00:00-06:00
XRPUSDT,2112,2020-01-05 18:00:00-06:00,2025-10-16 18:00:00-06:00
