symbol,thr,CAGR,Sharpe,MaxDD
1000SHIBUSDT.P,0.52,0.0162,0.2417,-0.3211
1000SHIBUSDT.P,0.55,0.0166,0.2352,-0.2366
1000SHIBUSDT.P,0.6,0.0035,0.1133,-0.2275
1000SHIBUSDT.P,0.62,0.0025,0.1009,-0.2275
1000SHIBUSDT.P,0.58,-0.0024,0.0724,-0.2055
1000SHIBUSDT.P,0.5,-0.0835,-0.1755,-0.4322
1000SHIBUSDT.P,0.65,-0.0209,-0.3413,-0.1253
ADAUSDT,0.6,0.4906,1.7689,-0.1911
ADAUSDT,0.62,0.3466,1.4821,-0.1757
ADAUSDT,0.58,0.326,1.2625,-0.1958
ADAUSDT,0.65,0.1681,1.2216,-0.1154
ADAUSDT,0.55,0.1436,0.6862,-0.3719
ADAUSDT,0.52,0.1212,0.6134,-0.505
ADAUSDT,0.5,-0.0525,0.1382,-0.5627
AVAXUSDT,0.58,0.3083,1.2133,-0.3631
AVAXUSDT,0.65,0.1447,0.8946,-0.1506
AVAXUSDT,0.55,0.1947,0.8169,-0.3495
AVAXUSDT,0.52,0.119,0.6038,-0.4079
AVAXUSDT,0.5,0.1169,0.6009,-0.467
AVAXUSDT,0.6,0.0859,0.5583,-0.2734
AVAXUSDT,0.62,0.0575,0.4454,-0.3045
BCHUSDT,0.5,0.0751,0.6189,-0.2589
BCHUSDT,0.52,0.0098,0.1805,-0.2586
BCHUSDT,0.55,-0.0255,-0.1432,-0.2502
BCHUSDT,0.6,-0.0418,-0.4085,-0.2203
BCHUSDT,0.62,-0.0436,-0.4484,-0.2213
BCHUSDT,0.58,-0.0517,-0.4935,-0.2394
BCHUSDT,0.65,-0.0661,-0.7972,-0.2292
BNBUSDT,0.5,0.4008,1.9795,-0.1405
BNBUSDT,0.52,0.3387,1.7854,-0.125
BNBUSDT,0.55,0.2493,1.7322,-0.1262
BNBUSDT,0.6,0.1202,1.5002,-0.0431
BNBUSDT,0.62,0.1009,1.4125,-0.0311
BNBUSDT,0.65,0.0766,1.1244,-0.0312
BNBUSDT,0.58,0.0945,1.0933,-0.0726
BTCUSDT,0.58,0.0626,1.0138,-0.0365
BTCUSDT,0.55,0.0718,0.9256,-0.1032
BTCUSDT,0.52,0.0737,0.7687,-0.1361
BTCUSDT,0.5,0.0836,0.7106,-0.1448
BTCUSDT,0.6,0.0261,0.5315,-0.0451
BTCUSDT,0.62,0.0013,0.0809,-0.0365
BTCUSDT,0.65,-0.0056,-0.2783,-0.0363
DOGEUSDT,0.6,0.1133,0.8318,-0.159
DOGEUSDT,0.65,0.0621,0.7515,-0.1131
DOGEUSDT,0.62,0.0881,0.7061,-0.159
DOGEUSDT,0.55,0.1042,0.6166,-0.4087
DOGEUSDT,0.58,0.0466,0.4059,-0.3069
DOGEUSDT,0.5,-0.0651,0.1006,-0.5949
DOGEUSDT,0.52,-0.076,-0.0218,-0.5365
DOTUSDT,0.65,0.1898,1.4883,-0.1172
DOTUSDT,0.62,0.1369,1.0419,-0.1172
DOTUSDT,0.6,0.14,0.9615,-0.1172
DOTUSDT,0.58,0.0759,0.5708,-0.1731
DOTUSDT,0.5,-0.0066,0.2135,-0.3087
DOTUSDT,0.55,-0.0721,-0.1418,-0.2683
DOTUSDT,0.52,-0.1197,-0.288,-0.3525
ETCUSDT,0.6,0.1327,1.3168,-0.0002
ETCUSDT,0.55,0.2489,1.2621,-0.1909
ETCUSDT,0.58,0.1613,1.0885,-0.1555
ETCUSDT,0.5,0.2667,0.959,-0.3958
ETCUSDT,0.62,0.028,0.7926,-0.0002
ETCUSDT,0.52,0.0484,0.3997,-0.3516
ETCUSDT,0.65,0.0,0.0,0.0
ETHUSDT,0.52,0.2227,1.9126,-0.0455
ETHUSDT,0.62,0.0265,1.2692,-0.0002
ETHUSDT,0.58,0.0444,1.1583,-0.0178
ETHUSDT,0.55,0.0774,0.9847,-0.0406
ETHUSDT,0.6,0.0197,0.8778,-0.0178
ETHUSDT,0.65,0.0038,0.7789,-0.0002
ETHUSDT,0.5,0.0372,0.3619,-0.2533
HBARUSDT,0.5,-0.0951,-0.1226,-0.5233
HBARUSDT,0.58,-0.0745,-0.2956,-0.4111
HBARUSDT,0.6,-0.0791,-0.4763,-0.3147
HBARUSDT,0.52,-0.1801,-0.5393,-0.5958
HBARUSDT,0.55,-0.1504,-0.5548,-0.5479
HBARUSDT,0.65,-0.0388,-0.7507,-0.1036
HBARUSDT,0.62,-0.0874,-0.7935,-0.2694
LINKUSDT,0.5,0.0443,0.4366,-0.5763
LINKUSDT,0.65,0.0227,0.3006,-0.1419
LINKUSDT,0.55,0.0039,0.2485,-0.5126
LINKUSDT,0.6,-0.0187,0.093,-0.2657
LINKUSDT,0.58,-0.0477,-0.0119,-0.4005
LINKUSDT,0.52,-0.1614,-0.2109,-0.6099
LINKUSDT,0.62,-0.0757,-0.2966,-0.3161
LTCUSDT,0.65,0.0388,0.415,-0.1901
LTCUSDT,0.62,0.0354,0.3755,-0.2472
LTCUSDT,0.6,0.0164,0.233,-0.2069
LTCUSDT,0.58,0.0096,0.1983,-0.3089
LTCUSDT,0.52,-0.1561,-0.3194,-0.5734
LTCUSDT,0.55,-0.1539,-0.5421,-0.6056
LTCUSDT,0.5,-0.2917,-0.7657,-0.7072
SOLUSDT,0.5,0.3024,1.0352,-0.3043
SOLUSDT,0.62,0.1269,0.8081,-0.2337
SOLUSDT,0.55,0.1818,0.8036,-0.2705
SOLUSDT,0.58,0.1176,0.6984,-0.3647
SOLUSDT,0.52,0.1389,0.6579,-0.3273
SOLUSDT,0.6,0.086,0.5877,-0.2746
SOLUSDT,0.65,0.0195,0.2566,-0.1632
TRXUSDT,0.52,0.2208,1.1346,-0.2585
TRXUSDT,0.5,0.0864,0.5583,-0.2977
TRXUSDT,0.55,-0.064,-0.3233,-0.4275
TRXUSDT,0.65,-0.0473,-0.4404,-0.1928
TRXUSDT,0.6,-0.0569,-0.4911,-0.1926
TRXUSDT,0.58,-0.0631,-0.5069,-0.2382
TRXUSDT,0.62,-0.0647,-0.5782,-0.1938
UNIUSDT,0.5,0.5116,1.4238,-0.3273
UNIUSDT,0.52,0.275,1.1008,-0.3656
UNIUSDT,0.6,0.1494,1.0902,-0.2071
UNIUSDT,0.62,0.1213,0.995,-0.2071
UNIUSDT,0.65,0.0654,0.717,-0.1285
UNIUSDT,0.58,0.0568,0.4489,-0.2189
UNIUSDT,0.55,0.0495,0.3996,-0.4291
XLMUSDT,0.65,0.071,0.7884,-0.0913
XLMUSDT,0.62,0.0623,0.6684,-0.0915
XLMUSDT,0.6,-0.0678,-0.3446,-0.293
XLMUSDT,0.5,-0.1273,-0.3598,-0.4297
XLMUSDT,0.55,-0.0994,-0.3892,-0.4218
XLMUSDT,0.58,-0.0847,-0.45,-0.2987
XLMUSDT,0.52,-0.1361,-0.4897,-0.4448
XMRUSDT.P,0.58,-0.0075,0.0275,-0.2638
XMRUSDT.P,0.55,-0.0475,-0.2766,-0.3097
XMRUSDT.P,0.62,-0.0355,-0.2844,-0.2369
XMRUSDT.P,0.6,-0.054,-0.4508,-0.2682
XMRUSDT.P,0.65,-0.0567,-0.6017,-0.2423
XMRUSDT.P,0.52,-0.2486,-1.0039,-0.5818
XMRUSDT.P,0.5,-0.2724,-1.1159,-0.6156
XRPUSDT,0.65,0.1004,1.8248,-0.0054
XRPUSDT,0.52,0.2271,0.7622,-0.2934
XRPUSDT,0.5,0.1795,0.6613,-0.2831
XRPUSDT,0.62,0.0099,0.1834,-0.1299
XRPUSDT,0.6,-0.0076,0.0164,-0.1253
