date,open,high,low,close,volume,open_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-04-01 23:59:59.999000+00:00,82550.0,85579.46,82432.74,85158.34,20190.39697,2025-04-01 00:00:00+00:00,1698895702.5754683,3328693,10246.42648,862302772.4330863
2025-04-02 23:59:59.999000+00:00,85158.35,88500.0,82320.0,82516.29,39931.457,2025-04-02 00:00:00+00:00,3417279759.830764,5338238,20739.67809,1777735583.8407478
2025-04-03 23:59:59.999000+00:00,82516.28,83998.02,81211.24,83213.09,27337.84135,2025-04-03 00:00:00+00:00,2259299724.8643928,4117486,13951.52792,1153439398.6198013
2025-04-04 23:59:59.999000+00:00,83213.09,84720.0,81659.0,83889.87,32915.53976,2025-04-04 00:00:00+00:00,2739842666.426737,4992586,15896.18779,1323832046.264688
2025-04-05 23:59:59.999000+00:00,83889.87,84266.0,82379.95,83537.99,9360.40468,2025-04-05 00:00:00+00:00,779626577.9013436,1575750,4029.64658,335654613.7277184
2025-04-06 23:59:59.999000+00:00,83537.99,83817.63,77153.83,78430.0,27942.71436,2025-04-06 00:00:00+00:00,2239085051.1529646,3948493,12493.8449,1001459573.4944661
2025-04-07 23:59:59.999000+00:00,78430.0,81243.58,74508.0,79163.24,78387.53089,2025-04-07 00:00:00+00:00,6084614024.150647,9736596,39075.84274,3034375055.6843963
2025-04-08 23:59:59.999000+00:00,79163.24,80867.99,76239.9,76322.42,35317.32063,2025-04-08 00:00:00+00:00,2775277777.102461,5512751,15704.73031,1235370767.1153502
2025-04-09 23:59:59.999000+00:00,76322.42,83588.0,74620.0,82615.22,75488.28772,2025-04-09 00:00:00+00:00,5980231256.222496,7741252,39491.62958,3137004042.959261
2025-04-10 23:59:59.999000+00:00,82615.22,82753.21,78464.36,79607.3,33284.80718,2025-04-10 00:00:00+00:00,2690294353.8478427,4529545,16339.9191,1321475356.0200849
2025-04-11 23:59:59.999000+00:00,79607.3,84300.0,78969.58,83423.84,34435.43797,2025-04-11 00:00:00+00:00,2830363945.1787524,4423157,18019.58367,1482515278.9177043
2025-04-12 23:59:59.999000+00:00,83423.83,85905.0,82792.95,85276.9,18470.74437,2025-04-12 00:00:00+00:00,1557403252.9267516,2501196,9526.72644,803747272.783468
2025-04-13 23:59:59.999000+00:00,85276.91,86100.0,83034.23,83760.0,24680.04181,2025-04-13 00:00:00+00:00,2086106375.4392555,3275879,11658.67909,986303246.0931836
2025-04-14 23:59:59.999000+00:00,83760.0,85799.99,83678.0,84591.58,28659.09348,2025-04-14 00:00:00+00:00,2429132805.0815287,3921522,15196.58929,1288815999.1406174
2025-04-15 23:59:59.999000+00:00,84591.58,86496.42,83600.0,83643.99,20910.99528,2025-04-15 00:00:00+00:00,1780972414.3956008,2910533,10439.36072,889895753.1673651
2025-04-16 23:59:59.999000+00:00,83643.99,85500.0,83111.64,84030.38,20867.24519,2025-04-16 00:00:00+00:00,1753910031.2009242,3264730,10456.769,878939829.4848368
2025-04-17 23:59:59.999000+00:00,84030.38,85470.01,83736.26,84947.91,13728.84772,2025-04-17 00:00:00+00:00,1161659427.386263,2003405,6424.41565,543726754.4187016
2025-04-18 23:59:59.999000+00:00,84947.92,85132.08,84303.96,84474.69,6529.96315,2025-04-18 00:00:00+00:00,552648483.647487,840009,2911.78856,246467088.2621466
2025-04-19 23:59:59.999000+00:00,84474.7,85677.99,84364.45,85077.01,9666.58153,2025-04-19 00:00:00+00:00,823222752.2842493,875226,5416.30087,461342923.999082
2025-04-20 23:59:59.999000+00:00,85077.0,85320.76,83949.52,85179.24,8091.67725,2025-04-20 00:00:00+00:00,685253644.8918362,944130,3843.48314,325482835.7378329
2025-04-21 23:59:59.999000+00:00,85179.24,88465.99,85144.76,87516.23,31773.37262,2025-04-21 00:00:00+00:00,2773299591.467066,3041395,17216.39877,1502705225.134135
2025-04-22 23:59:59.999000+00:00,87516.22,93888.0,87076.03,93442.99,43872.74705,2025-04-22 00:00:00+00:00,3967785064.12817,3268475,22777.77047,2062639579.2030854
2025-04-23 23:59:59.999000+00:00,93442.99,94696.05,91935.41,93691.08,27404.16808,2025-04-23 00:00:00+00:00,2560279933.947952,3016536,13128.05774,1226992558.5765462
2025-04-24 23:59:59.999000+00:00,93691.07,94005.0,91660.01,93980.47,19497.06071,2025-04-24 00:00:00+00:00,1811120137.3146787,2797383,8565.18128,795787487.3608981
2025-04-25 23:59:59.999000+00:00,93980.47,95758.04,92855.96,94638.68,27500.66648,2025-04-25 00:00:00+00:00,2596877713.640173,3331828,13072.22136,1234153095.7292683
2025-04-26 23:59:59.999000+00:00,94638.68,95199.0,93870.69,94628.0,9415.06875,2025-04-26 00:00:00+00:00,889627361.8414447,1475983,4156.22463,392757114.4383579
2025-04-27 23:59:59.999000+00:00,94628.0,95369.0,93602.58,93749.3,11162.841,2025-04-27 00:00:00+00:00,1052334792.1866189,1918160,5250.08719,495112239.1081697
2025-04-28 23:59:59.999000+00:00,93749.29,95630.0,92800.01,95011.18,22157.53351,2025-04-28 00:00:00+00:00,2092532996.5551717,3424740,11626.77592,1098667305.2399979
2025-04-29 23:59:59.999000+00:00,95011.18,95461.53,93742.54,94256.82,16955.3402,2025-04-29 00:00:00+00:00,1607154803.4675477,3020875,7112.68469,674688527.813066
2025-04-30 23:59:59.999000+00:00,94256.82,95228.45,92910.0,94172.0,17661.2751,2025-04-30 00:00:00+00:00,1664825670.9831252,3214149,8393.2162,791272380.0312448
