date,open,high,low,close,volume,open_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-07-01 23:59:59.999000+00:00,107146.51,107540.0,105250.85,105681.14,10505.62437,2025-07-01 00:00:00+00:00,1117432945.8926365,2013289,4648.91727,494549276.1837785
2025-07-02 23:59:59.999000+00:00,105681.13,109730.0,105100.19,108849.6,17691.89592,2025-07-02 00:00:00+00:00,1915699005.8772898,2444708,9248.43029,1002261738.2088752
2025-07-03 23:59:59.999000+00:00,108849.59,110529.18,108530.4,109584.78,13047.08225,2025-07-03 00:00:00+00:00,1429459048.6383262,2568944,6961.89686,763022147.911677
2025-07-04 23:59:59.999000+00:00,109584.77,109767.59,107245.0,107984.24,11793.86615,2025-07-04 00:00:00+00:00,1276215111.6683652,1975212,4787.79822,518313226.966756
2025-07-05 23:59:59.999000+00:00,107984.25,108420.56,107756.31,108198.12,3736.9757,2025-07-05 00:00:00+00:00,403928702.1967476,710020,1803.68528,194976807.3633011
2025-07-06 23:59:59.999000+00:00,108198.12,109700.0,107800.01,109203.84,6447.607,2025-07-06 00:00:00+00:00,700733299.5112199,1256591,3209.35902,348780644.233174
2025-07-07 23:59:59.999000+00:00,109203.85,109700.0,107513.2,108262.94,9405.37601,2025-07-07 00:00:00+00:00,1020848316.0537041,1961940,3920.92229,425664101.8022387
2025-07-08 23:59:59.999000+00:00,108262.94,109216.56,107429.57,108922.98,9216.0208,2025-07-08 00:00:00+00:00,1000112813.4398943,1723244,4371.98866,474674358.9974899
2025-07-09 23:59:59.999000+00:00,108922.99,111999.79,108324.53,111233.99,17282.2865,2025-07-09 00:00:00+00:00,1902054744.194924,2328484,8935.70327,983405508.7482138
2025-07-10 23:59:59.999000+00:00,111234.0,116868.0,110500.0,116010.0,24883.450665,2025-07-10 00:00:00+00:00,2826460280.4452233,3227017,12900.135467,1465777460.9410756
2025-07-11 23:59:59.999000+00:00,116010.01,118869.98,115222.22,117527.66,25873.521148,2025-07-11 00:00:00+00:00,3039521803.027247,3708194,12502.931168,1468374333.9502122
2025-07-12 23:59:59.999000+00:00,117527.66,118200.0,116900.05,117420.0,8446.60437,2025-07-12 00:00:00+00:00,993093353.4068904,1441851,3784.55219,444996040.9059787
2025-07-13 23:59:59.999000+00:00,117420.0,119488.0,117224.79,119086.64,9550.792947,2025-07-13 00:00:00+00:00,1132096857.0116916,1650283,4766.474307,565024389.3723919
2025-07-14 23:59:59.999000+00:00,119086.65,123218.0,118905.18,119841.18,27269.348877,2025-07-14 00:00:00+00:00,3299746181.0770736,4076133,14099.580747,1705505292.664724
2025-07-15 23:59:59.999000+00:00,119841.17,119940.83,115736.92,117758.09,32018.46083,2025-07-15 00:00:00+00:00,3755258445.553272,3805374,15667.30508,1837578524.9238648
2025-07-16 23:59:59.999000+00:00,117758.08,120063.84,117017.29,118630.43,17039.90851,2025-07-16 00:00:00+00:00,2023850383.7234874,2429625,8355.96881,992430971.3675903
2025-07-17 23:59:59.999000+00:00,118630.44,120998.71,117453.57,119177.56,15728.57651,2025-07-17 00:00:00+00:00,1869114355.1231644,2347985,7696.17927,914659207.5744278
2025-07-18 23:59:59.999000+00:00,119177.56,120820.71,116812.76,117924.84,19924.66266,2025-07-18 00:00:00+00:00,2367355518.470308,2805236,8951.37863,1063782057.4785626
2025-07-19 23:59:59.999000+00:00,117924.84,118499.9,117277.34,117840.0,6635.80306,2025-07-19 00:00:00+00:00,783327898.4969696,1133382,2978.3832,351626384.0502903
2025-07-20 23:59:59.999000+00:00,117840.01,118856.8,116467.02,117265.12,12962.92889,2025-07-20 00:00:00+00:00,1528864683.816082,1615935,6581.33371,776457462.9818254
2025-07-21 23:59:59.999000+00:00,117265.11,119676.73,116515.0,117380.36,17107.33128,2025-07-21 00:00:00+00:00,2020783266.9633648,2509543,8426.31812,995117241.6679094
2025-07-22 23:59:59.999000+00:00,117380.36,120247.8,116128.0,119954.42,20959.12973,2025-07-22 00:00:00+00:00,2481252763.651911,2778733,10811.45507,1280627214.6285224
2025-07-23 23:59:59.999000+00:00,119954.43,120090.0,117301.0,118755.99,14558.75083,2025-07-23 00:00:00+00:00,1722126986.886661,2101404,7070.08701,836266328.7446831
2025-07-24 23:59:59.999000+00:00,118756.0,119450.0,117103.1,118340.99,15806.89043,2025-07-24 00:00:00+00:00,1873181653.2018075,2081435,7651.73992,906619084.6035931
2025-07-25 23:59:59.999000+00:00,118340.98,118451.57,114723.16,117614.31,38406.34873,2025-07-25 00:00:00+00:00,4456778786.620494,3282355,17042.77355,1977873720.8964725
2025-07-26 23:59:59.999000+00:00,117614.31,118297.35,117138.38,117919.99,6991.67206,2025-07-26 00:00:00+00:00,823629079.7493103,790372,3167.88355,373290310.2164352
2025-07-27 23:59:59.999000+00:00,117919.99,119766.65,117825.5,119415.55,9328.30919,2025-07-27 00:00:00+00:00,1107883542.1607983,1095080,5238.30358,622261561.2507277
2025-07-28 23:59:59.999000+00:00,119415.56,119800.0,117427.5,118062.32,13961.74754,2025-07-28 00:00:00+00:00,1655882235.896518,1824777,7224.91774,857128354.2234088
2025-07-29 23:59:59.999000+00:00,118062.32,119273.36,116950.75,117950.76,15137.93445,2025-07-29 00:00:00+00:00,1788682083.6856463,1956694,7988.93736,944162800.0745873
2025-07-30 23:59:59.999000+00:00,117950.75,118792.0,115796.23,117840.3,15586.73631,2025-07-30 00:00:00+00:00,1832696878.222986,1997369,7803.61434,917632890.2336526
2025-07-31 23:59:59.999000+00:00,117840.29,118922.45,115500.0,115764.08,17010.0073,2025-07-31 00:00:00+00:00,2002870016.7022426,1859532,8313.51616,979519362.0685424
