date,open,high,low,close,volume,open_time,quote_asset_volume,number_of_trades,taker_buy_base_volume,taker_buy_quote_volume
2025-05-01 23:59:59.999000+00:00,94172.0,97424.02,94130.43,96489.91,21380.45343,2025-05-01 00:00:00+00:00,2053857614.2732673,2925716,10925.87308,1049157198.8587635
2025-05-02 23:59:59.999000+00:00,96489.9,97895.68,96350.0,96887.14,14905.74811,2025-05-02 00:00:00+00:00,1446387651.5840576,2698263,7440.33531,722022817.2246199
2025-05-03 23:59:59.999000+00:00,96887.13,96935.67,95753.01,95856.42,9723.34838,2025-05-03 00:00:00+00:00,935906144.9651498,1181239,3929.4049,378271292.4443145
2025-05-04 23:59:59.999000+00:00,95856.42,96304.48,94151.38,94277.62,11036.38342,2025-05-04 00:00:00+00:00,1053542403.8531588,1674726,4385.33486,418573470.8569623
2025-05-05 23:59:59.999000+00:00,94277.61,95199.0,93514.1,94733.68,17251.18189,2025-05-05 00:00:00+00:00,1626999380.1759968,2623300,8399.64855,792299650.3395202
2025-05-06 23:59:59.999000+00:00,94733.68,96920.65,93377.0,96834.02,16122.64513,2025-05-06 00:00:00+00:00,1526847764.5636683,2512960,7505.95734,711372483.6117135
2025-05-07 23:59:59.999000+00:00,96834.02,97732.0,95784.61,97030.5,16644.83854,2025-05-07 00:00:00+00:00,1611730124.5924542,2849139,8316.74471,805430612.4055355
2025-05-08 23:59:59.999000+00:00,97030.5,104145.76,96876.29,103261.6,34962.02847,2025-05-08 00:00:00+00:00,3508645830.5650144,4991147,18547.23009,1861334478.364427
2025-05-09 23:59:59.999000+00:00,103261.61,104361.3,102315.14,102971.99,27617.39907,2025-05-09 00:00:00+00:00,2847518447.981513,4406929,14525.20381,1497826622.326188
2025-05-10 23:59:59.999000+00:00,102971.99,104984.57,102818.76,104809.53,15324.78611,2025-05-10 00:00:00+00:00,1588386278.502415,2227845,8258.23478,856095289.5216646
2025-05-11 23:59:59.999000+00:00,104809.53,104972.0,103345.06,104118.0,17987.12197,2025-05-11 00:00:00+00:00,1873381777.2124255,3100176,9071.95578,944903285.107308
2025-05-12 23:59:59.999000+00:00,104118.0,105819.45,100718.37,102791.32,31272.77792,2025-05-12 00:00:00+00:00,3242348937.383069,5298407,16455.99797,1707457796.5881395
2025-05-13 23:59:59.999000+00:00,102791.32,104976.25,101429.7,104103.72,21253.42409,2025-05-13 00:00:00+00:00,2197244118.152367,3703531,10705.97845,1106609664.707795
2025-05-14 23:59:59.999000+00:00,104103.72,104356.95,102602.05,103507.82,16452.9081,2025-05-14 00:00:00+00:00,1704708279.3884108,3025221,8026.03333,831783471.654361
2025-05-15 23:59:59.999000+00:00,103507.83,104192.7,101383.07,103763.71,17998.98604,2025-05-15 00:00:00+00:00,1850183474.5292037,4139477,8475.18036,871244345.564136
