date,symbol,prob_up,side,confidence
2025-08-14T00:00:00+00:00,1000SHIBUSDT.P,0.4558254071030987,FLAT,0.08834918579380258
2025-08-14T00:00:00+00:00,ADAUSDT,0.5189491073615782,LONG,0.037898214723156354
2025-08-14T00:00:00+00:00,AVAXUSDT,0.5485887410618403,LONG,0.0971774821236806
2025-08-14T00:00:00+00:00,BCHUSDT,0.5406867166954299,LONG,0.08137343339085978
2025-08-14T00:00:00+00:00,BNBUSDT,0.3965533480870419,FLAT,0.2068933038259162
2025-08-14T00:00:00+00:00,BTCUSDT,0.1964878756005633,FLAT,0.6070242487988734
2025-08-14T00:00:00+00:00,DOGEUSDT,0.4351348375557379,FLAT,0.1297303248885242
2025-08-14T00:00:00+00:00,DOTUSDT,0.6272160337836324,LONG,0.2544320675672649
2025-08-14T00:00:00+00:00,ETCUSDT,0.5212144164667081,LONG,0.04242883293341615
2025-08-14T00:00:00+00:00,ETHUSDT,0.4419089702568024,FLAT,0.11618205948639515
2025-08-14T00:00:00+00:00,HBARUSDT,0.2896898732901117,FLAT,0.4206202534197766
2025-08-14T00:00:00+00:00,LINKUSDT,0.4620135089477423,FLAT,0.07597298210451542
2025-08-14T00:00:00+00:00,LTCUSDT,0.5673148325594143,LONG,0.13462966511882857
2025-08-14T00:00:00+00:00,SOLUSDT,0.1476900614553042,FLAT,0.7046198770893917
2025-08-14T00:00:00+00:00,TRXUSDT,0.0812039905289954,FLAT,0.8375920189420092
2025-08-14T00:00:00+00:00,UNIUSDT,0.7586848061654149,LONG,0.5173696123308298
2025-08-14T00:00:00+00:00,XLMUSDT,0.5213818938645514,LONG,0.04276378772910272
2025-08-14T00:00:00+00:00,XMRUSDT.P,0.6104443717922936,LONG,0.2208887435845872
2025-08-14T00:00:00+00:00,XRPUSDT,0.061749551890179,FLAT,0.876500896219642
