date,symbol,prob_up,side,confidence
2025-08-14T00:00:00+00:00,1000SHIBUSDT.P,0.5207871227547559,LONG,0.04157424550951183
2025-08-14T00:00:00+00:00,ADAUSDT,0.7452938782621533,LONG,0.49058775652430664
2025-08-14T00:00:00+00:00,AVAXUSDT,0.5578252220767829,LONG,0.11565044415356573
2025-08-14T00:00:00+00:00,BCHUSDT,0.4730387327731096,FLAT,0.05392253445378081
2025-08-14T00:00:00+00:00,BNBUSDT,0.5422796946378347,LONG,0.0845593892756693
2025-08-14T00:00:00+00:00,BTCUSDT,0.3404838931058828,FLAT,0.31903221378823443
2025-08-14T00:00:00+00:00,DOGEUSDT,0.6050672805557674,LONG,0.21013456111153483
2025-08-14T00:00:00+00:00,DOTUSDT,0.6213013986064923,LONG,0.2426027972129845
2025-08-14T00:00:00+00:00,ETCUSDT,0.5653756784966378,LONG,0.13075135699327567
2025-08-14T00:00:00+00:00,ETHUSDT,0.5235851065775197,LONG,0.04717021315503933
2025-08-14T00:00:00+00:00,HBARUSDT,0.5442563471113542,LONG,0.08851269422270835
2025-08-14T00:00:00+00:00,LINKUSDT,0.6530472741789809,LONG,0.3060945483579618
2025-08-14T00:00:00+00:00,LTCUSDT,0.6327127967149822,LONG,0.2654255934299643
2025-08-14T00:00:00+00:00,SOLUSDT,0.5140767541907814,LONG,0.02815350838156272
2025-08-14T00:00:00+00:00,TRXUSDT,0.5690930657612886,LONG,0.1381861315225772
2025-08-14T00:00:00+00:00,UNIUSDT,0.644387269730064,LONG,0.288774539460128
2025-08-14T00:00:00+00:00,XLMUSDT,0.6035334656407884,LONG,0.20706693128157672
2025-08-14T00:00:00+00:00,XMRUSDT.P,0.6282506518218774,LONG,0.2565013036437549
2025-08-14T00:00:00+00:00,XRPUSDT,0.3182825527611379,FLAT,0.36343489447772415
